Question,Answer,Context
ما هي الألقاب والصفات التي يحظر على وكلاء الأعمال والمستشارين القانونيين ادعاءها في إطار نشاطهم المهني وفقًا للداير؟,"يحظر على وكلاء الأعمال والمستشارين القانونيين، وفقًا للداير، ادعاء الألقاب والصفات التالية في أي وثيقة أو إعلان أو منشور يستخدمونه في أعمالهم:

* **المحامي الفخري/ السابق:**  
* **الوكيل الفخري/ السابق:**
* **الموظف العام/الوزاري الفخري/ السابق:**
* **المُعتمد الفخري/ السابق:**
* **الموظف السابق/ الفخري في أمانات القضاء:**
* **كاتب العدل الفخري/ السابق:**
* **أي صفة أو لقب مهني آخر من خارج المغرب، حتى لو كان مُعادلاً لصفات محددة في المغرب.**


يُعاقب من يفعل ذلك بغرامة تتراوح بين 24,000 و 500,000 فرنك، وقد تصل إلى مليون فرنك في حال التكرار.
","### Context: ---  
**Bulletin officiel n° 2288 du 31 août 1956**  
**EDITION DE TRADUCTION OFFICIELLE**  
****  
**Dahir n° 1-56-077 du 2 moharrem 1376 (9 août 1956) interdisant aux agents
d'affaires et conseils juridiques de se prévaloir de certains titres.**
**LOUANGE A DIEU SEUL !** _(Grand sceau de Sidi Mohammed ben Youssef)_ Que
l'on sache par les présentes - puisse Dieu en élever et en fortifier la teneur
! Que Notre Majesté Chérifienne, Vu le dahir du 27 moharrem 1364 (la janvier
1945) réglementant la profession d'agent d'affaires, **A Décidé ce qui suit
:** **Article Unique :** Seront punies d'une amende de 24 000 à 500.000 francs
les personnes, quelle que soit leur nationalité, exerçant la profession
d'agent d'affaires ou de conseil juridique qui auront fait ou laissé figurer
leur qualité de magistrat honoraire, d'ancien magistrat, d'avocat honoraire,
d'ancien avocat, d'officier public ou ministériel honoraire, d'ancien officier
public ou ministériel, d'agréé honoraire ou, d'ancien agréé, d'ancien
fonctionnaire ou fonctionnaire honoraire des secrétariats-greffes, de notaire
honoraire ou d'ancien notaire, sur tous les prospectus, annonces, tracts,
réclames, plaques, papiers à lettres, mandats et, en, général, sur tous
documents ou écrits quelconques utilisés dans le cadre de leur activité. Il
est interdit dans les mêmes conditions et sous les mêmes peines de se
prévaloir de diplômes professionnels ou de titres étrangers équivalents
permettant l'accès aux fonctions d'avocat, de notaire, ou de secrétaire-
greffier. En cas de récidive, la peine ci-dessus prévue pourra s'élever à un
million de francs. _Fait à Rabat, le 2 moharrem 1376 (9 août 1956)._
_Enregistré à la présidence du conseil,  
le 2 moharrem 1376 (9 août 1956) :  
_**Bekkaï.** ****

 ### Source: URL: https://juridiahackhaton.blob.core.windows.net/fine-tuning/documents/13891.html type: Dahir date_publication: 1956-08-09 title: Dahir n° 1-56-077 du 2 moharrem 1376 (9 août 1956) interdisant aux agents d'affaires et conseils juridiques de se prévaloir de certains titres."
ما هي الأسباب التي دفعت إلى إصدار هذا الداِير الخاص بحظر ادعاء بعض الألقاب على وكلاء الأعمال والمستشارين القانونيين؟,"يُشير الداِير إلى أن سبب إصداره هو تنظيم مهنة وكيل الأعمال، وذلك استنادًا إلى داِير سابق صدر في 27 محرم 1364 (يناير 1945).  الهدف من هذا الداِير هو منع وكلاء الأعمال والمستشارين القانونيين من استخدام ألقاب معينة، مثل ""قاضي شرفي""، أو ""محامي شرفي""، أو ""موظف عام شرفي""، أو ألقاب مماثلة، في إعلاناتهم أو وثائقهم، بغرض حماية المهن القانونية والتنظيمية، وربما لمنع التضليل أو الإيحاء بامتلاك مهارات أو صلاحيات أكبر مما هي عليه في الواقع.
","### Context: ---  
**Bulletin officiel n° 2288 du 31 août 1956**  
**EDITION DE TRADUCTION OFFICIELLE**  
****  
**Dahir n° 1-56-077 du 2 moharrem 1376 (9 août 1956) interdisant aux agents
d'affaires et conseils juridiques de se prévaloir de certains titres.**
**LOUANGE A DIEU SEUL !** _(Grand sceau de Sidi Mohammed ben Youssef)_ Que
l'on sache par les présentes - puisse Dieu en élever et en fortifier la teneur
! Que Notre Majesté Chérifienne, Vu le dahir du 27 moharrem 1364 (la janvier
1945) réglementant la profession d'agent d'affaires, **A Décidé ce qui suit
:** **Article Unique :** Seront punies d'une amende de 24 000 à 500.000 francs
les personnes, quelle que soit leur nationalité, exerçant la profession
d'agent d'affaires ou de conseil juridique qui auront fait ou laissé figurer
leur qualité de magistrat honoraire, d'ancien magistrat, d'avocat honoraire,
d'ancien avocat, d'officier public ou ministériel honoraire, d'ancien officier
public ou ministériel, d'agréé honoraire ou, d'ancien agréé, d'ancien
fonctionnaire ou fonctionnaire honoraire des secrétariats-greffes, de notaire
honoraire ou d'ancien notaire, sur tous les prospectus, annonces, tracts,
réclames, plaques, papiers à lettres, mandats et, en, général, sur tous
documents ou écrits quelconques utilisés dans le cadre de leur activité. Il
est interdit dans les mêmes conditions et sous les mêmes peines de se
prévaloir de diplômes professionnels ou de titres étrangers équivalents
permettant l'accès aux fonctions d'avocat, de notaire, ou de secrétaire-
greffier. En cas de récidive, la peine ci-dessus prévue pourra s'élever à un
million de francs. _Fait à Rabat, le 2 moharrem 1376 (9 août 1956)._
_Enregistré à la présidence du conseil,  
le 2 moharrem 1376 (9 août 1956) :  
_**Bekkaï.** ****

 ### Source: URL: https://juridiahackhaton.blob.core.windows.net/fine-tuning/documents/13891.html type: Dahir date_publication: 1956-08-09 title: Dahir n° 1-56-077 du 2 moharrem 1376 (9 août 1956) interdisant aux agents d'affaires et conseils juridiques de se prévaloir de certains titres."
هل هناك استثناءات من حظر ادعاء الألقاب المذكورة في الداِير؟,"لا، لا يوجد ذكر لاستثناءات في النص.  الداير يمنع بشكل عام استخدام الألقاب المذكورة (مثل القاضي الشرفي، أو المحامي الشرفي) في الإعلانات والوثائق المتعلقة بالعمل المهني، مع عقوبات مالية.
","### Context: ---  
**Bulletin officiel n° 2288 du 31 août 1956**  
**EDITION DE TRADUCTION OFFICIELLE**  
****  
**Dahir n° 1-56-077 du 2 moharrem 1376 (9 août 1956) interdisant aux agents
d'affaires et conseils juridiques de se prévaloir de certains titres.**
**LOUANGE A DIEU SEUL !** _(Grand sceau de Sidi Mohammed ben Youssef)_ Que
l'on sache par les présentes - puisse Dieu en élever et en fortifier la teneur
! Que Notre Majesté Chérifienne, Vu le dahir du 27 moharrem 1364 (la janvier
1945) réglementant la profession d'agent d'affaires, **A Décidé ce qui suit
:** **Article Unique :** Seront punies d'une amende de 24 000 à 500.000 francs
les personnes, quelle que soit leur nationalité, exerçant la profession
d'agent d'affaires ou de conseil juridique qui auront fait ou laissé figurer
leur qualité de magistrat honoraire, d'ancien magistrat, d'avocat honoraire,
d'ancien avocat, d'officier public ou ministériel honoraire, d'ancien officier
public ou ministériel, d'agréé honoraire ou, d'ancien agréé, d'ancien
fonctionnaire ou fonctionnaire honoraire des secrétariats-greffes, de notaire
honoraire ou d'ancien notaire, sur tous les prospectus, annonces, tracts,
réclames, plaques, papiers à lettres, mandats et, en, général, sur tous
documents ou écrits quelconques utilisés dans le cadre de leur activité. Il
est interdit dans les mêmes conditions et sous les mêmes peines de se
prévaloir de diplômes professionnels ou de titres étrangers équivalents
permettant l'accès aux fonctions d'avocat, de notaire, ou de secrétaire-
greffier. En cas de récidive, la peine ci-dessus prévue pourra s'élever à un
million de francs. _Fait à Rabat, le 2 moharrem 1376 (9 août 1956)._
_Enregistré à la présidence du conseil,  
le 2 moharrem 1376 (9 août 1956) :  
_**Bekkaï.** ****

 ### Source: URL: https://juridiahackhaton.blob.core.windows.net/fine-tuning/documents/13891.html type: Dahir date_publication: 1956-08-09 title: Dahir n° 1-56-077 du 2 moharrem 1376 (9 août 1956) interdisant aux agents d'affaires et conseils juridiques de se prévaloir de certains titres."
كيف يتم تطبيق عقوبات الداِير على من يخالفون أحكامه؟,"يُعاقب كل من يمارس مهنة وكيل أعمال أو مستشار قانوني، بغض النظر عن جنسيته، ويُظهر أو يُشير إلى صفته كقاضٍ شرفي، أو قاضٍ سابق، أو محامٍ شرفي، أو محامٍ سابق، أو موظف عام شرفي، أو موظف عام سابق، أو مُعتمد شرفي، أو مُعتمد سابق، أو موظف سابق أو شرفي في السكرتاريات أو المكاتب القضائية، أو كاتب عدل شرفي أو كاتب عدل سابق، على أي منشورات أو إعلانات أو منشورات أو إعلانات أو لوحات أو أوراق مراسلة أو أوامر أو، بشكل عام، على أي وثائق أو كتابات تُستخدم في إطار عملهم، بغرامة تتراوح بين 24,000 و 500,000 فرنك.  كما يحظر، في نفس الظروف وبنفس العقوبات، الاستناد إلى شهادات مهنية أو ألقاب أجنبية مكافئة تسمح بالوصول إلى وظائف المحاماة أو الكتابة العدل أو السكرتارية. وفي حالة تكرار المخالفة، يمكن أن تصل العقوبة إلى مليون فرنك.
","### Context: ---  
**Bulletin officiel n° 2288 du 31 août 1956**  
**EDITION DE TRADUCTION OFFICIELLE**  
****  
**Dahir n° 1-56-077 du 2 moharrem 1376 (9 août 1956) interdisant aux agents
d'affaires et conseils juridiques de se prévaloir de certains titres.**
**LOUANGE A DIEU SEUL !** _(Grand sceau de Sidi Mohammed ben Youssef)_ Que
l'on sache par les présentes - puisse Dieu en élever et en fortifier la teneur
! Que Notre Majesté Chérifienne, Vu le dahir du 27 moharrem 1364 (la janvier
1945) réglementant la profession d'agent d'affaires, **A Décidé ce qui suit
:** **Article Unique :** Seront punies d'une amende de 24 000 à 500.000 francs
les personnes, quelle que soit leur nationalité, exerçant la profession
d'agent d'affaires ou de conseil juridique qui auront fait ou laissé figurer
leur qualité de magistrat honoraire, d'ancien magistrat, d'avocat honoraire,
d'ancien avocat, d'officier public ou ministériel honoraire, d'ancien officier
public ou ministériel, d'agréé honoraire ou, d'ancien agréé, d'ancien
fonctionnaire ou fonctionnaire honoraire des secrétariats-greffes, de notaire
honoraire ou d'ancien notaire, sur tous les prospectus, annonces, tracts,
réclames, plaques, papiers à lettres, mandats et, en, général, sur tous
documents ou écrits quelconques utilisés dans le cadre de leur activité. Il
est interdit dans les mêmes conditions et sous les mêmes peines de se
prévaloir de diplômes professionnels ou de titres étrangers équivalents
permettant l'accès aux fonctions d'avocat, de notaire, ou de secrétaire-
greffier. En cas de récidive, la peine ci-dessus prévue pourra s'élever à un
million de francs. _Fait à Rabat, le 2 moharrem 1376 (9 août 1956)._
_Enregistré à la présidence du conseil,  
le 2 moharrem 1376 (9 août 1956) :  
_**Bekkaï.** ****

 ### Source: URL: https://juridiahackhaton.blob.core.windows.net/fine-tuning/documents/13891.html type: Dahir date_publication: 1956-08-09 title: Dahir n° 1-56-077 du 2 moharrem 1376 (9 août 1956) interdisant aux agents d'affaires et conseils juridiques de se prévaloir de certains titres."
ما هي العلاقة بين هذا الداِير ووضع المهنة القانونية في المغرب في ذلك الوقت؟,"يُحدد هذا الداِير، الصادر في 9 أغسطس 1956،  إطارًا صارمًا لممارسة مهنتي وكيل الأعمال والمشورة القانونية في المغرب.  فهو يُحظر على هؤلاء المهنيين استخدام ألقاب أو شهادات مهنية معينة (مثل القاضي الفخري، أو المحامي الفخري، أو الموظف العام الفخري) في إعلاناتهم أو وثائقهم، بغض النظر عن جنسياتهم.  هذا يعني أن الداِير يُحدد بدقة من هم مسموح لهم بممارسة هذه المهن، ويُحاول تنظيمها وربما الحد من التنافس غير المباشر بين مختلف الفئات من المهنيين القانونيين.  بالتالي، يُعد هذا الداِير جزءًا من محاولة تنظيم وضع المهنة القانونية في المغرب في ذلك الوقت، وربما محاولة لضبط السوق وفرض نوع من الاحتكار المهني.
","### Context: ---  
**Bulletin officiel n° 2288 du 31 août 1956**  
**EDITION DE TRADUCTION OFFICIELLE**  
****  
**Dahir n° 1-56-077 du 2 moharrem 1376 (9 août 1956) interdisant aux agents
d'affaires et conseils juridiques de se prévaloir de certains titres.**
**LOUANGE A DIEU SEUL !** _(Grand sceau de Sidi Mohammed ben Youssef)_ Que
l'on sache par les présentes - puisse Dieu en élever et en fortifier la teneur
! Que Notre Majesté Chérifienne, Vu le dahir du 27 moharrem 1364 (la janvier
1945) réglementant la profession d'agent d'affaires, **A Décidé ce qui suit
:** **Article Unique :** Seront punies d'une amende de 24 000 à 500.000 francs
les personnes, quelle que soit leur nationalité, exerçant la profession
d'agent d'affaires ou de conseil juridique qui auront fait ou laissé figurer
leur qualité de magistrat honoraire, d'ancien magistrat, d'avocat honoraire,
d'ancien avocat, d'officier public ou ministériel honoraire, d'ancien officier
public ou ministériel, d'agréé honoraire ou, d'ancien agréé, d'ancien
fonctionnaire ou fonctionnaire honoraire des secrétariats-greffes, de notaire
honoraire ou d'ancien notaire, sur tous les prospectus, annonces, tracts,
réclames, plaques, papiers à lettres, mandats et, en, général, sur tous
documents ou écrits quelconques utilisés dans le cadre de leur activité. Il
est interdit dans les mêmes conditions et sous les mêmes peines de se
prévaloir de diplômes professionnels ou de titres étrangers équivalents
permettant l'accès aux fonctions d'avocat, de notaire, ou de secrétaire-
greffier. En cas de récidive, la peine ci-dessus prévue pourra s'élever à un
million de francs. _Fait à Rabat, le 2 moharrem 1376 (9 août 1956)._
_Enregistré à la présidence du conseil,  
le 2 moharrem 1376 (9 août 1956) :  
_**Bekkaï.** ****

 ### Source: URL: https://juridiahackhaton.blob.core.windows.net/fine-tuning/documents/13891.html type: Dahir date_publication: 1956-08-09 title: Dahir n° 1-56-077 du 2 moharrem 1376 (9 août 1956) interdisant aux agents d'affaires et conseils juridiques de se prévaloir de certains titres."
ما هي الآثار المترتبة على هذا الداِير على ممارسة مهنة وكيل الأعمال والمستشارين القانونيين في المغرب؟,"يُنصّ الداِير رقم 1-56-077 الصادر في 9 أغسطس 1956 على منع وكلاء الأعمال والمستشارين القانونيين في المغرب من استخدام ألقاب أو شهادات معيّنة في إعلاناتهم ووثائقهم الرسمية.  فإن استخدموا ألقابًا مثل ""قاضي شرفي""، أو ""محامي شرفي""، أو ""موظف عام شرفي""، أو أي ألقاب أو شهادات مهنية أخرى، سيعرضون أنفسهم لغرامات تتراوح بين 24,000 و 500,000 فرنك.  كما يحظر استخدام أي شهادات مهنية أجنبية مماثلة.  في حال التكرار، يمكن أن تصل الغرامة إلى مليون فرنك.  بالتالي، يحدّ هذا الداِير من استخدام الألقاب المهنية في الإعلانات والتسويق، ويُلزمهم بالالتزام بالعنوان الرسمي للمهنة فقط.
","### Context: ---  
**Bulletin officiel n° 2288 du 31 août 1956**  
**EDITION DE TRADUCTION OFFICIELLE**  
****  
**Dahir n° 1-56-077 du 2 moharrem 1376 (9 août 1956) interdisant aux agents
d'affaires et conseils juridiques de se prévaloir de certains titres.**
**LOUANGE A DIEU SEUL !** _(Grand sceau de Sidi Mohammed ben Youssef)_ Que
l'on sache par les présentes - puisse Dieu en élever et en fortifier la teneur
! Que Notre Majesté Chérifienne, Vu le dahir du 27 moharrem 1364 (la janvier
1945) réglementant la profession d'agent d'affaires, **A Décidé ce qui suit
:** **Article Unique :** Seront punies d'une amende de 24 000 à 500.000 francs
les personnes, quelle que soit leur nationalité, exerçant la profession
d'agent d'affaires ou de conseil juridique qui auront fait ou laissé figurer
leur qualité de magistrat honoraire, d'ancien magistrat, d'avocat honoraire,
d'ancien avocat, d'officier public ou ministériel honoraire, d'ancien officier
public ou ministériel, d'agréé honoraire ou, d'ancien agréé, d'ancien
fonctionnaire ou fonctionnaire honoraire des secrétariats-greffes, de notaire
honoraire ou d'ancien notaire, sur tous les prospectus, annonces, tracts,
réclames, plaques, papiers à lettres, mandats et, en, général, sur tous
documents ou écrits quelconques utilisés dans le cadre de leur activité. Il
est interdit dans les mêmes conditions et sous les mêmes peines de se
prévaloir de diplômes professionnels ou de titres étrangers équivalents
permettant l'accès aux fonctions d'avocat, de notaire, ou de secrétaire-
greffier. En cas de récidive, la peine ci-dessus prévue pourra s'élever à un
million de francs. _Fait à Rabat, le 2 moharrem 1376 (9 août 1956)._
_Enregistré à la présidence du conseil,  
le 2 moharrem 1376 (9 août 1956) :  
_**Bekkaï.** ****

 ### Source: URL: https://juridiahackhaton.blob.core.windows.net/fine-tuning/documents/13891.html type: Dahir date_publication: 1956-08-09 title: Dahir n° 1-56-077 du 2 moharrem 1376 (9 août 1956) interdisant aux agents d'affaires et conseils juridiques de se prévaloir de certains titres."
هل تم تعديل أو إلغاء هذا الداِير لاحقًا؟,"للأسف، لا توجد معلومات في النص المقدم حول تعديل أو إلغاء هذا الداِير لاحقًا.  النص يقتصر على إصدار الداِير في 9 أغسطس 1956.  لإيجاد معلومات حول أي تعديلات أو إلغاءات لاحقة، سيكون من الضروري البحث في مصادر أخرى.
","### Context: ---  
**Bulletin officiel n° 2288 du 31 août 1956**  
**EDITION DE TRADUCTION OFFICIELLE**  
****  
**Dahir n° 1-56-077 du 2 moharrem 1376 (9 août 1956) interdisant aux agents
d'affaires et conseils juridiques de se prévaloir de certains titres.**
**LOUANGE A DIEU SEUL !** _(Grand sceau de Sidi Mohammed ben Youssef)_ Que
l'on sache par les présentes - puisse Dieu en élever et en fortifier la teneur
! Que Notre Majesté Chérifienne, Vu le dahir du 27 moharrem 1364 (la janvier
1945) réglementant la profession d'agent d'affaires, **A Décidé ce qui suit
:** **Article Unique :** Seront punies d'une amende de 24 000 à 500.000 francs
les personnes, quelle que soit leur nationalité, exerçant la profession
d'agent d'affaires ou de conseil juridique qui auront fait ou laissé figurer
leur qualité de magistrat honoraire, d'ancien magistrat, d'avocat honoraire,
d'ancien avocat, d'officier public ou ministériel honoraire, d'ancien officier
public ou ministériel, d'agréé honoraire ou, d'ancien agréé, d'ancien
fonctionnaire ou fonctionnaire honoraire des secrétariats-greffes, de notaire
honoraire ou d'ancien notaire, sur tous les prospectus, annonces, tracts,
réclames, plaques, papiers à lettres, mandats et, en, général, sur tous
documents ou écrits quelconques utilisés dans le cadre de leur activité. Il
est interdit dans les mêmes conditions et sous les mêmes peines de se
prévaloir de diplômes professionnels ou de titres étrangers équivalents
permettant l'accès aux fonctions d'avocat, de notaire, ou de secrétaire-
greffier. En cas de récidive, la peine ci-dessus prévue pourra s'élever à un
million de francs. _Fait à Rabat, le 2 moharrem 1376 (9 août 1956)._
_Enregistré à la présidence du conseil,  
le 2 moharrem 1376 (9 août 1956) :  
_**Bekkaï.** ****

 ### Source: URL: https://juridiahackhaton.blob.core.windows.net/fine-tuning/documents/13891.html type: Dahir date_publication: 1956-08-09 title: Dahir n° 1-56-077 du 2 moharrem 1376 (9 août 1956) interdisant aux agents d'affaires et conseils juridiques de se prévaloir de certains titres."
Quelles étaient les sanctions prévues pour les agents d'affaires et conseils juridiques qui violaient les dispositions du Dahir ?,"Le Dahir n° 1-56-077 du 9 août 1956 prévoyait une amende de 24 000 à 500 000 francs pour les agents d'affaires et conseils juridiques qui utilisaient des titres tels que magistrat honoraire, ancien magistrat, avocat honoraire, etc. dans leurs documents professionnels.  En cas de récidive, la peine pouvait s'élever à un million de francs.
","### Context: ---  
**Bulletin officiel n° 2288 du 31 août 1956**  
**EDITION DE TRADUCTION OFFICIELLE**  
****  
**Dahir n° 1-56-077 du 2 moharrem 1376 (9 août 1956) interdisant aux agents
d'affaires et conseils juridiques de se prévaloir de certains titres.**
**LOUANGE A DIEU SEUL !** _(Grand sceau de Sidi Mohammed ben Youssef)_ Que
l'on sache par les présentes - puisse Dieu en élever et en fortifier la teneur
! Que Notre Majesté Chérifienne, Vu le dahir du 27 moharrem 1364 (la janvier
1945) réglementant la profession d'agent d'affaires, **A Décidé ce qui suit
:** **Article Unique :** Seront punies d'une amende de 24 000 à 500.000 francs
les personnes, quelle que soit leur nationalité, exerçant la profession
d'agent d'affaires ou de conseil juridique qui auront fait ou laissé figurer
leur qualité de magistrat honoraire, d'ancien magistrat, d'avocat honoraire,
d'ancien avocat, d'officier public ou ministériel honoraire, d'ancien officier
public ou ministériel, d'agréé honoraire ou, d'ancien agréé, d'ancien
fonctionnaire ou fonctionnaire honoraire des secrétariats-greffes, de notaire
honoraire ou d'ancien notaire, sur tous les prospectus, annonces, tracts,
réclames, plaques, papiers à lettres, mandats et, en, général, sur tous
documents ou écrits quelconques utilisés dans le cadre de leur activité. Il
est interdit dans les mêmes conditions et sous les mêmes peines de se
prévaloir de diplômes professionnels ou de titres étrangers équivalents
permettant l'accès aux fonctions d'avocat, de notaire, ou de secrétaire-
greffier. En cas de récidive, la peine ci-dessus prévue pourra s'élever à un
million de francs. _Fait à Rabat, le 2 moharrem 1376 (9 août 1956)._
_Enregistré à la présidence du conseil,  
le 2 moharrem 1376 (9 août 1956) :  
_**Bekkaï.** ****

 ### Source: URL: https://juridiahackhaton.blob.core.windows.net/fine-tuning/documents/13891.html type: Dahir date_publication: 1956-08-09 title: Dahir n° 1-56-077 du 2 moharrem 1376 (9 août 1956) interdisant aux agents d'affaires et conseils juridiques de se prévaloir de certains titres."
Quelles catégories de titres professionnels étaient interdits d'utilisation par les agents d'affaires et les conseils juridiques dans leurs publicités et documents ?,"Le Dahir n° 1-56-077 du 9 août 1956 interdit aux agents d'affaires et conseils juridiques de se prévaloir des titres suivants dans leurs documents et publicités :

* **Magistrat honoraire/ancien magistrat**
* **Avocat honoraire/ancien avocat**
* **Officier public ou ministériel honoraire/ancien officier public ou ministériel**
* **Agrée honoraire/ancien agréé**
* **Ancien fonctionnaire ou fonctionnaire honoraire des secrétariats-greffes**
* **Notaire honoraire/ancien notaire**

De plus, il est interdit de se prévaloir de **diplômes professionnels ou titres étrangers équivalents** permettant l'accès aux fonctions d'avocat, notaire ou secrétaire-greffier.
","### Context: ---  
**Bulletin officiel n° 2288 du 31 août 1956**  
**EDITION DE TRADUCTION OFFICIELLE**  
****  
**Dahir n° 1-56-077 du 2 moharrem 1376 (9 août 1956) interdisant aux agents
d'affaires et conseils juridiques de se prévaloir de certains titres.**
**LOUANGE A DIEU SEUL !** _(Grand sceau de Sidi Mohammed ben Youssef)_ Que
l'on sache par les présentes - puisse Dieu en élever et en fortifier la teneur
! Que Notre Majesté Chérifienne, Vu le dahir du 27 moharrem 1364 (la janvier
1945) réglementant la profession d'agent d'affaires, **A Décidé ce qui suit
:** **Article Unique :** Seront punies d'une amende de 24 000 à 500.000 francs
les personnes, quelle que soit leur nationalité, exerçant la profession
d'agent d'affaires ou de conseil juridique qui auront fait ou laissé figurer
leur qualité de magistrat honoraire, d'ancien magistrat, d'avocat honoraire,
d'ancien avocat, d'officier public ou ministériel honoraire, d'ancien officier
public ou ministériel, d'agréé honoraire ou, d'ancien agréé, d'ancien
fonctionnaire ou fonctionnaire honoraire des secrétariats-greffes, de notaire
honoraire ou d'ancien notaire, sur tous les prospectus, annonces, tracts,
réclames, plaques, papiers à lettres, mandats et, en, général, sur tous
documents ou écrits quelconques utilisés dans le cadre de leur activité. Il
est interdit dans les mêmes conditions et sous les mêmes peines de se
prévaloir de diplômes professionnels ou de titres étrangers équivalents
permettant l'accès aux fonctions d'avocat, de notaire, ou de secrétaire-
greffier. En cas de récidive, la peine ci-dessus prévue pourra s'élever à un
million de francs. _Fait à Rabat, le 2 moharrem 1376 (9 août 1956)._
_Enregistré à la présidence du conseil,  
le 2 moharrem 1376 (9 août 1956) :  
_**Bekkaï.** ****

 ### Source: URL: https://juridiahackhaton.blob.core.windows.net/fine-tuning/documents/13891.html type: Dahir date_publication: 1956-08-09 title: Dahir n° 1-56-077 du 2 moharrem 1376 (9 août 1956) interdisant aux agents d'affaires et conseils juridiques de se prévaloir de certains titres."
Comment le Dahir différenciait-il les infractions répétées (récidives) des premières infractions ?,"Le Dahir n° 1-56-077 du 9 août 1956 prévoit une sanction plus sévère en cas de récidive.  En cas de première infraction, l'amende est comprise entre 24 000 et 500 000 francs.  En cas de récidive, la peine peut s'élever à un million de francs.  La différence réside donc dans le montant de l'amende, plus élevé pour les infractions répétées.
","### Context: ---  
**Bulletin officiel n° 2288 du 31 août 1956**  
**EDITION DE TRADUCTION OFFICIELLE**  
****  
**Dahir n° 1-56-077 du 2 moharrem 1376 (9 août 1956) interdisant aux agents
d'affaires et conseils juridiques de se prévaloir de certains titres.**
**LOUANGE A DIEU SEUL !** _(Grand sceau de Sidi Mohammed ben Youssef)_ Que
l'on sache par les présentes - puisse Dieu en élever et en fortifier la teneur
! Que Notre Majesté Chérifienne, Vu le dahir du 27 moharrem 1364 (la janvier
1945) réglementant la profession d'agent d'affaires, **A Décidé ce qui suit
:** **Article Unique :** Seront punies d'une amende de 24 000 à 500.000 francs
les personnes, quelle que soit leur nationalité, exerçant la profession
d'agent d'affaires ou de conseil juridique qui auront fait ou laissé figurer
leur qualité de magistrat honoraire, d'ancien magistrat, d'avocat honoraire,
d'ancien avocat, d'officier public ou ministériel honoraire, d'ancien officier
public ou ministériel, d'agréé honoraire ou, d'ancien agréé, d'ancien
fonctionnaire ou fonctionnaire honoraire des secrétariats-greffes, de notaire
honoraire ou d'ancien notaire, sur tous les prospectus, annonces, tracts,
réclames, plaques, papiers à lettres, mandats et, en, général, sur tous
documents ou écrits quelconques utilisés dans le cadre de leur activité. Il
est interdit dans les mêmes conditions et sous les mêmes peines de se
prévaloir de diplômes professionnels ou de titres étrangers équivalents
permettant l'accès aux fonctions d'avocat, de notaire, ou de secrétaire-
greffier. En cas de récidive, la peine ci-dessus prévue pourra s'élever à un
million de francs. _Fait à Rabat, le 2 moharrem 1376 (9 août 1956)._
_Enregistré à la présidence du conseil,  
le 2 moharrem 1376 (9 août 1956) :  
_**Bekkaï.** ****

 ### Source: URL: https://juridiahackhaton.blob.core.windows.net/fine-tuning/documents/13891.html type: Dahir date_publication: 1956-08-09 title: Dahir n° 1-56-077 du 2 moharrem 1376 (9 août 1956) interdisant aux agents d'affaires et conseils juridiques de se prévaloir de certains titres."
