Question,Answer,Context
ما هي أهم بنود اتفاقية التنازل المذكورة في هذا القرار؟,"يُشير القرار إلى اتفاقية تنازل رقم 1،  تاريخ 18 فبراير 2007،  لإنجاز، وتشغيل، وتمويل، وصيانة نظام جديد لإدارة رخص القيادة والبطاقات الرمادية.  الهدف الأساسي هو تطوير وتشغيل نظام إلكتروني لهذه الوثائق.  يُحدد القرار الموافقة على مرفق (أُوّل) هذه الاتفاقية،  ويُشير إلى توقيعها بين حكومة المملكة المغربية (ممثلة بوزير التجهيز والنقل) وشركة ""ASSIAQA CARD"".
","### Context: ---  
**Bulletin officiel n° 6310 du 20 novembre 2014**  
**EDITION DE TRADUCTION OFFICIELLE**  
****  
**Décret n° 2-14-783 du 2 moharrem 1436 (27 octobre 2014) portant approbation
de l'avenant n° 1 à la convention de concession du 18 février 2007 relative à
la réalisation, l'exploitation, le financement et la maintenance du nouveau
système de gestion des permis de conduire et des cartes grises.** **** **Le
Chef du Gouvernement,** **** Vu la Constitution, notamment son article 90 ; Vu
la convention de concession pour la réalisation, l'exploitation, le
financement et la maintenance du nouveau système de gestion des permis de
conduire et des cartes grises électroniques, conclue en date du 18 février
2007 et notifiée au concessionnaire le 10 mai 2007 ; Sur proposition du
ministère délégué auprès du ministre de l'équipement, du transport et de la
logistique, chargé du transport ; Après visa du ministre de l'économie et des
finances, **** **Décrète :** **** **Article premier :** Est approuvé tel qu'il
est annexé à l'original du présent décret l'avenant n° 1 à la convention de
concession relative à la réalisation, l'exploitation, le financement et la
maintenance du nouveau système de gestion des permis de conduire et des cartes
grises conclue en date du 18 février 2007 entre le gouvernement du Royaume du
Maroc, représenté par le ministre de l'équipement et du transport et le
ministre de l'économie et des finances, et la société « ASSIAQA CARD »,
société anonyme de droit marocain, représentée par son directeur général.
**Article 2 :** Le Ministre délégué auprès du ministre de l'équipement, du
transport et de la logistique, chargé du transport et le ministre de
l'économie et des finances sont chargés, chacun en ce qui le concerne, de
l'exécution du présent décret qui sera publié au _Bulletin officiel_. _Fait à
Rabat, le 2 moharrem 1436 (27 octobre 2014)._ **Abdel-Ilah Benkiran.** Pour
contreseing :  _Le Ministre délégué auprès  
du ministre de l'équipement,  
du transport et de la logistique,  
chargé du transport,_ **Mohamed Najib Boulif.** __ _Le Ministre de l'économie  
et des finances,_ **Mohammed Boussaid.** ****

 ### Source: URL: https://juridiahackhaton.blob.core.windows.net/fine-tuning/documents/7303.html type: Décret date_publication: 2014-10-27 title: Décret n° 2-14-783 du 2 moharrem 1436 (27 octobre 2014) portant approbation de l'avenant n° 1 à la convention de concession du 18 février 2007 relative à la réalisation, l'exploitation, le financement et la maintenance du nouveau système de gestion des permis de conduire et des cartes grises."
متى تم توقيع اتفاقية التنازل الأصلية لإنشاء نظام إدارة رخص القيادة والبطاقات الرمادية؟,"تم توقيع اتفاقية التنازل الأصلية لإنشاء نظام إدارة رخص القيادة والبطاقات الرمادية في **18 فبراير 2007**.
","### Context: ---  
**Bulletin officiel n° 6310 du 20 novembre 2014**  
**EDITION DE TRADUCTION OFFICIELLE**  
****  
**Décret n° 2-14-783 du 2 moharrem 1436 (27 octobre 2014) portant approbation
de l'avenant n° 1 à la convention de concession du 18 février 2007 relative à
la réalisation, l'exploitation, le financement et la maintenance du nouveau
système de gestion des permis de conduire et des cartes grises.** **** **Le
Chef du Gouvernement,** **** Vu la Constitution, notamment son article 90 ; Vu
la convention de concession pour la réalisation, l'exploitation, le
financement et la maintenance du nouveau système de gestion des permis de
conduire et des cartes grises électroniques, conclue en date du 18 février
2007 et notifiée au concessionnaire le 10 mai 2007 ; Sur proposition du
ministère délégué auprès du ministre de l'équipement, du transport et de la
logistique, chargé du transport ; Après visa du ministre de l'économie et des
finances, **** **Décrète :** **** **Article premier :** Est approuvé tel qu'il
est annexé à l'original du présent décret l'avenant n° 1 à la convention de
concession relative à la réalisation, l'exploitation, le financement et la
maintenance du nouveau système de gestion des permis de conduire et des cartes
grises conclue en date du 18 février 2007 entre le gouvernement du Royaume du
Maroc, représenté par le ministre de l'équipement et du transport et le
ministre de l'économie et des finances, et la société « ASSIAQA CARD »,
société anonyme de droit marocain, représentée par son directeur général.
**Article 2 :** Le Ministre délégué auprès du ministre de l'équipement, du
transport et de la logistique, chargé du transport et le ministre de
l'économie et des finances sont chargés, chacun en ce qui le concerne, de
l'exécution du présent décret qui sera publié au _Bulletin officiel_. _Fait à
Rabat, le 2 moharrem 1436 (27 octobre 2014)._ **Abdel-Ilah Benkiran.** Pour
contreseing :  _Le Ministre délégué auprès  
du ministre de l'équipement,  
du transport et de la logistique,  
chargé du transport,_ **Mohamed Najib Boulif.** __ _Le Ministre de l'économie  
et des finances,_ **Mohammed Boussaid.** ****

 ### Source: URL: https://juridiahackhaton.blob.core.windows.net/fine-tuning/documents/7303.html type: Décret date_publication: 2014-10-27 title: Décret n° 2-14-783 du 2 moharrem 1436 (27 octobre 2014) portant approbation de l'avenant n° 1 à la convention de concession du 18 février 2007 relative à la réalisation, l'exploitation, le financement et la maintenance du nouveau système de gestion des permis de conduire et des cartes grises."
"ما هي الأهداف الرئيسية لـ ""ASSIAQA CARD"" وفقًا لاتفاقية التنازل؟","وفقًا للوثيقة، فإن هدف شركة ""ASSIAQA CARD"" هو  **إنجاز، وتشغيل، وتمويل، وصيانة نظام جديد لإدارة رخص القيادة والبطاقات الرمادية**.
","### Context: ---  
**Bulletin officiel n° 6310 du 20 novembre 2014**  
**EDITION DE TRADUCTION OFFICIELLE**  
****  
**Décret n° 2-14-783 du 2 moharrem 1436 (27 octobre 2014) portant approbation
de l'avenant n° 1 à la convention de concession du 18 février 2007 relative à
la réalisation, l'exploitation, le financement et la maintenance du nouveau
système de gestion des permis de conduire et des cartes grises.** **** **Le
Chef du Gouvernement,** **** Vu la Constitution, notamment son article 90 ; Vu
la convention de concession pour la réalisation, l'exploitation, le
financement et la maintenance du nouveau système de gestion des permis de
conduire et des cartes grises électroniques, conclue en date du 18 février
2007 et notifiée au concessionnaire le 10 mai 2007 ; Sur proposition du
ministère délégué auprès du ministre de l'équipement, du transport et de la
logistique, chargé du transport ; Après visa du ministre de l'économie et des
finances, **** **Décrète :** **** **Article premier :** Est approuvé tel qu'il
est annexé à l'original du présent décret l'avenant n° 1 à la convention de
concession relative à la réalisation, l'exploitation, le financement et la
maintenance du nouveau système de gestion des permis de conduire et des cartes
grises conclue en date du 18 février 2007 entre le gouvernement du Royaume du
Maroc, représenté par le ministre de l'équipement et du transport et le
ministre de l'économie et des finances, et la société « ASSIAQA CARD »,
société anonyme de droit marocain, représentée par son directeur général.
**Article 2 :** Le Ministre délégué auprès du ministre de l'équipement, du
transport et de la logistique, chargé du transport et le ministre de
l'économie et des finances sont chargés, chacun en ce qui le concerne, de
l'exécution du présent décret qui sera publié au _Bulletin officiel_. _Fait à
Rabat, le 2 moharrem 1436 (27 octobre 2014)._ **Abdel-Ilah Benkiran.** Pour
contreseing :  _Le Ministre délégué auprès  
du ministre de l'équipement,  
du transport et de la logistique,  
chargé du transport,_ **Mohamed Najib Boulif.** __ _Le Ministre de l'économie  
et des finances,_ **Mohammed Boussaid.** ****

 ### Source: URL: https://juridiahackhaton.blob.core.windows.net/fine-tuning/documents/7303.html type: Décret date_publication: 2014-10-27 title: Décret n° 2-14-783 du 2 moharrem 1436 (27 octobre 2014) portant approbation de l'avenant n° 1 à la convention de concession du 18 février 2007 relative à la réalisation, l'exploitation, le financement et la maintenance du nouveau système de gestion des permis de conduire et des cartes grises."
ما هي العلاقة بين وزارة التجهيز والنقل والاتفاقية المذكورة؟,"تُشير الوثيقة إلى أن وزارة التجهيز والنقل، ممثلةً في وزيرها، كانت طرفًا في اتفاقية التّنازل المُبرمة في 18 فبراير 2007،  لإنجاز، وتشغيل، وتمويل، وصيانة نظام إدارة رخص القيادة والبطاقات الرمادية.  كما أن الوزير المُختص بالشأن المعني قدّم اقتراحًا بشأن الموافقة على الملحق رقم 1 لهذه الاتفاقية.
","### Context: ---  
**Bulletin officiel n° 6310 du 20 novembre 2014**  
**EDITION DE TRADUCTION OFFICIELLE**  
****  
**Décret n° 2-14-783 du 2 moharrem 1436 (27 octobre 2014) portant approbation
de l'avenant n° 1 à la convention de concession du 18 février 2007 relative à
la réalisation, l'exploitation, le financement et la maintenance du nouveau
système de gestion des permis de conduire et des cartes grises.** **** **Le
Chef du Gouvernement,** **** Vu la Constitution, notamment son article 90 ; Vu
la convention de concession pour la réalisation, l'exploitation, le
financement et la maintenance du nouveau système de gestion des permis de
conduire et des cartes grises électroniques, conclue en date du 18 février
2007 et notifiée au concessionnaire le 10 mai 2007 ; Sur proposition du
ministère délégué auprès du ministre de l'équipement, du transport et de la
logistique, chargé du transport ; Après visa du ministre de l'économie et des
finances, **** **Décrète :** **** **Article premier :** Est approuvé tel qu'il
est annexé à l'original du présent décret l'avenant n° 1 à la convention de
concession relative à la réalisation, l'exploitation, le financement et la
maintenance du nouveau système de gestion des permis de conduire et des cartes
grises conclue en date du 18 février 2007 entre le gouvernement du Royaume du
Maroc, représenté par le ministre de l'équipement et du transport et le
ministre de l'économie et des finances, et la société « ASSIAQA CARD »,
société anonyme de droit marocain, représentée par son directeur général.
**Article 2 :** Le Ministre délégué auprès du ministre de l'équipement, du
transport et de la logistique, chargé du transport et le ministre de
l'économie et des finances sont chargés, chacun en ce qui le concerne, de
l'exécution du présent décret qui sera publié au _Bulletin officiel_. _Fait à
Rabat, le 2 moharrem 1436 (27 octobre 2014)._ **Abdel-Ilah Benkiran.** Pour
contreseing :  _Le Ministre délégué auprès  
du ministre de l'équipement,  
du transport et de la logistique,  
chargé du transport,_ **Mohamed Najib Boulif.** __ _Le Ministre de l'économie  
et des finances,_ **Mohammed Boussaid.** ****

 ### Source: URL: https://juridiahackhaton.blob.core.windows.net/fine-tuning/documents/7303.html type: Décret date_publication: 2014-10-27 title: Décret n° 2-14-783 du 2 moharrem 1436 (27 octobre 2014) portant approbation de l'avenant n° 1 à la convention de concession du 18 février 2007 relative à la réalisation, l'exploitation, le financement et la maintenance du nouveau système de gestion des permis de conduire et des cartes grises."
ما هي أهمية الموافقة على الملحق رقم 1 من اتفاقية التنازل؟,"يُعدّ الموافقة على الملحق رقم 1 من اتفاقية التنازل أمرًا هامًا للغاية، إذ يُمثل هذا الملحق تعديلًا أو إضافاتٍ على الاتفاقية الأصلية المُبرمة في 18 فبراير 2007.  تُحدد هذه الموافقة شروطًا جديدةً أو تُغيّر من شروطٍ سابقةٍ تتعلق بتنفيذ، واستغلال، وتمويل، وصيانة نظام إدارة رخص القيادة والبطاقات الرمادية.  وبالتالي، فإنّ الموافقة على هذا الملحق تُحدد بشكلٍ رسميٍّ التزامات الأطراف المُشاركة (الحكومة المغربية وشركة ""ASSIAQA CARD"")، وتُعزز من إمكانية تنفيذ المشروع المُتعلق بنظام إدارة رخص القيادة والبطاقات الرمادية.
","### Context: ---  
**Bulletin officiel n° 6310 du 20 novembre 2014**  
**EDITION DE TRADUCTION OFFICIELLE**  
****  
**Décret n° 2-14-783 du 2 moharrem 1436 (27 octobre 2014) portant approbation
de l'avenant n° 1 à la convention de concession du 18 février 2007 relative à
la réalisation, l'exploitation, le financement et la maintenance du nouveau
système de gestion des permis de conduire et des cartes grises.** **** **Le
Chef du Gouvernement,** **** Vu la Constitution, notamment son article 90 ; Vu
la convention de concession pour la réalisation, l'exploitation, le
financement et la maintenance du nouveau système de gestion des permis de
conduire et des cartes grises électroniques, conclue en date du 18 février
2007 et notifiée au concessionnaire le 10 mai 2007 ; Sur proposition du
ministère délégué auprès du ministre de l'équipement, du transport et de la
logistique, chargé du transport ; Après visa du ministre de l'économie et des
finances, **** **Décrète :** **** **Article premier :** Est approuvé tel qu'il
est annexé à l'original du présent décret l'avenant n° 1 à la convention de
concession relative à la réalisation, l'exploitation, le financement et la
maintenance du nouveau système de gestion des permis de conduire et des cartes
grises conclue en date du 18 février 2007 entre le gouvernement du Royaume du
Maroc, représenté par le ministre de l'équipement et du transport et le
ministre de l'économie et des finances, et la société « ASSIAQA CARD »,
société anonyme de droit marocain, représentée par son directeur général.
**Article 2 :** Le Ministre délégué auprès du ministre de l'équipement, du
transport et de la logistique, chargé du transport et le ministre de
l'économie et des finances sont chargés, chacun en ce qui le concerne, de
l'exécution du présent décret qui sera publié au _Bulletin officiel_. _Fait à
Rabat, le 2 moharrem 1436 (27 octobre 2014)._ **Abdel-Ilah Benkiran.** Pour
contreseing :  _Le Ministre délégué auprès  
du ministre de l'équipement,  
du transport et de la logistique,  
chargé du transport,_ **Mohamed Najib Boulif.** __ _Le Ministre de l'économie  
et des finances,_ **Mohammed Boussaid.** ****

 ### Source: URL: https://juridiahackhaton.blob.core.windows.net/fine-tuning/documents/7303.html type: Décret date_publication: 2014-10-27 title: Décret n° 2-14-783 du 2 moharrem 1436 (27 octobre 2014) portant approbation de l'avenant n° 1 à la convention de concession du 18 février 2007 relative à la réalisation, l'exploitation, le financement et la maintenance du nouveau système de gestion des permis de conduire et des cartes grises."
ما هي الإجراءات التي اتخذتها الحكومة المغربية لضمان تنفيذ اتفاقية التنازل؟,"أصدرت الحكومة المغربية مرسومًا رقم 2-14-783 المؤرخ في 2 محرم 1436 (27 أكتوبر 2014)  لإقرار الملحق رقم 1 لاتفاقية التنازل المؤرخة في 18 فبراير 2007 المتعلقة بتنفيذ، واستغلال، وتمويل، وصيانة نظام إدارة رخص القيادة والبطاقات الرمادية الجديد.  يشمل المرسوم موافقة الحكومة على الملحق، وتحديد المسؤوليات على الوزير المفوض لدى وزير التجهيز والنقل واللوجستيك المكلف بالنقل، ووزير الاقتصاد والمالية لتنفيذ المرسوم.  كما ينص على نشر المرسوم في الجريدة الرسمية.  هذه الإجراءات تهدف إلى ضمان تنفيذ اتفاقية التنازل بشكل رسمي وقانوني.
","### Context: ---  
**Bulletin officiel n° 6310 du 20 novembre 2014**  
**EDITION DE TRADUCTION OFFICIELLE**  
****  
**Décret n° 2-14-783 du 2 moharrem 1436 (27 octobre 2014) portant approbation
de l'avenant n° 1 à la convention de concession du 18 février 2007 relative à
la réalisation, l'exploitation, le financement et la maintenance du nouveau
système de gestion des permis de conduire et des cartes grises.** **** **Le
Chef du Gouvernement,** **** Vu la Constitution, notamment son article 90 ; Vu
la convention de concession pour la réalisation, l'exploitation, le
financement et la maintenance du nouveau système de gestion des permis de
conduire et des cartes grises électroniques, conclue en date du 18 février
2007 et notifiée au concessionnaire le 10 mai 2007 ; Sur proposition du
ministère délégué auprès du ministre de l'équipement, du transport et de la
logistique, chargé du transport ; Après visa du ministre de l'économie et des
finances, **** **Décrète :** **** **Article premier :** Est approuvé tel qu'il
est annexé à l'original du présent décret l'avenant n° 1 à la convention de
concession relative à la réalisation, l'exploitation, le financement et la
maintenance du nouveau système de gestion des permis de conduire et des cartes
grises conclue en date du 18 février 2007 entre le gouvernement du Royaume du
Maroc, représenté par le ministre de l'équipement et du transport et le
ministre de l'économie et des finances, et la société « ASSIAQA CARD »,
société anonyme de droit marocain, représentée par son directeur général.
**Article 2 :** Le Ministre délégué auprès du ministre de l'équipement, du
transport et de la logistique, chargé du transport et le ministre de
l'économie et des finances sont chargés, chacun en ce qui le concerne, de
l'exécution du présent décret qui sera publié au _Bulletin officiel_. _Fait à
Rabat, le 2 moharrem 1436 (27 octobre 2014)._ **Abdel-Ilah Benkiran.** Pour
contreseing :  _Le Ministre délégué auprès  
du ministre de l'équipement,  
du transport et de la logistique,  
chargé du transport,_ **Mohamed Najib Boulif.** __ _Le Ministre de l'économie  
et des finances,_ **Mohammed Boussaid.** ****

 ### Source: URL: https://juridiahackhaton.blob.core.windows.net/fine-tuning/documents/7303.html type: Décret date_publication: 2014-10-27 title: Décret n° 2-14-783 du 2 moharrem 1436 (27 octobre 2014) portant approbation de l'avenant n° 1 à la convention de concession du 18 février 2007 relative à la réalisation, l'exploitation, le financement et la maintenance du nouveau système de gestion des permis de conduire et des cartes grises."
ما هي العقوبات المحتملة في حالة عدم الالتزام بشروط اتفاقية التنازل؟,"الأسف، لا توجد معلومات في النص المقدم حول العقوبات المحتملة في حالة عدم الالتزام بشروط اتفاقية التنازل.  النص يصف فقط موافقة الحكومة على ملحقٍ لاتفاقية سابقة، دون ذكر أي عقوبات.
","### Context: ---  
**Bulletin officiel n° 6310 du 20 novembre 2014**  
**EDITION DE TRADUCTION OFFICIELLE**  
****  
**Décret n° 2-14-783 du 2 moharrem 1436 (27 octobre 2014) portant approbation
de l'avenant n° 1 à la convention de concession du 18 février 2007 relative à
la réalisation, l'exploitation, le financement et la maintenance du nouveau
système de gestion des permis de conduire et des cartes grises.** **** **Le
Chef du Gouvernement,** **** Vu la Constitution, notamment son article 90 ; Vu
la convention de concession pour la réalisation, l'exploitation, le
financement et la maintenance du nouveau système de gestion des permis de
conduire et des cartes grises électroniques, conclue en date du 18 février
2007 et notifiée au concessionnaire le 10 mai 2007 ; Sur proposition du
ministère délégué auprès du ministre de l'équipement, du transport et de la
logistique, chargé du transport ; Après visa du ministre de l'économie et des
finances, **** **Décrète :** **** **Article premier :** Est approuvé tel qu'il
est annexé à l'original du présent décret l'avenant n° 1 à la convention de
concession relative à la réalisation, l'exploitation, le financement et la
maintenance du nouveau système de gestion des permis de conduire et des cartes
grises conclue en date du 18 février 2007 entre le gouvernement du Royaume du
Maroc, représenté par le ministre de l'équipement et du transport et le
ministre de l'économie et des finances, et la société « ASSIAQA CARD »,
société anonyme de droit marocain, représentée par son directeur général.
**Article 2 :** Le Ministre délégué auprès du ministre de l'équipement, du
transport et de la logistique, chargé du transport et le ministre de
l'économie et des finances sont chargés, chacun en ce qui le concerne, de
l'exécution du présent décret qui sera publié au _Bulletin officiel_. _Fait à
Rabat, le 2 moharrem 1436 (27 octobre 2014)._ **Abdel-Ilah Benkiran.** Pour
contreseing :  _Le Ministre délégué auprès  
du ministre de l'équipement,  
du transport et de la logistique,  
chargé du transport,_ **Mohamed Najib Boulif.** __ _Le Ministre de l'économie  
et des finances,_ **Mohammed Boussaid.** ****

 ### Source: URL: https://juridiahackhaton.blob.core.windows.net/fine-tuning/documents/7303.html type: Décret date_publication: 2014-10-27 title: Décret n° 2-14-783 du 2 moharrem 1436 (27 octobre 2014) portant approbation de l'avenant n° 1 à la convention de concession du 18 février 2007 relative à la réalisation, l'exploitation, le financement et la maintenance du nouveau système de gestion des permis de conduire et des cartes grises."
Quel était l'objet principal de la convention de concession initiale du 18 février 2007 ?,"L'objet principal de la convention de concession du 18 février 2007 était la réalisation, l'exploitation, le financement et la maintenance du nouveau système de gestion des permis de conduire et des cartes grises électroniques.
","### Context: ---  
**Bulletin officiel n° 6310 du 20 novembre 2014**  
**EDITION DE TRADUCTION OFFICIELLE**  
****  
**Décret n° 2-14-783 du 2 moharrem 1436 (27 octobre 2014) portant approbation
de l'avenant n° 1 à la convention de concession du 18 février 2007 relative à
la réalisation, l'exploitation, le financement et la maintenance du nouveau
système de gestion des permis de conduire et des cartes grises.** **** **Le
Chef du Gouvernement,** **** Vu la Constitution, notamment son article 90 ; Vu
la convention de concession pour la réalisation, l'exploitation, le
financement et la maintenance du nouveau système de gestion des permis de
conduire et des cartes grises électroniques, conclue en date du 18 février
2007 et notifiée au concessionnaire le 10 mai 2007 ; Sur proposition du
ministère délégué auprès du ministre de l'équipement, du transport et de la
logistique, chargé du transport ; Après visa du ministre de l'économie et des
finances, **** **Décrète :** **** **Article premier :** Est approuvé tel qu'il
est annexé à l'original du présent décret l'avenant n° 1 à la convention de
concession relative à la réalisation, l'exploitation, le financement et la
maintenance du nouveau système de gestion des permis de conduire et des cartes
grises conclue en date du 18 février 2007 entre le gouvernement du Royaume du
Maroc, représenté par le ministre de l'équipement et du transport et le
ministre de l'économie et des finances, et la société « ASSIAQA CARD »,
société anonyme de droit marocain, représentée par son directeur général.
**Article 2 :** Le Ministre délégué auprès du ministre de l'équipement, du
transport et de la logistique, chargé du transport et le ministre de
l'économie et des finances sont chargés, chacun en ce qui le concerne, de
l'exécution du présent décret qui sera publié au _Bulletin officiel_. _Fait à
Rabat, le 2 moharrem 1436 (27 octobre 2014)._ **Abdel-Ilah Benkiran.** Pour
contreseing :  _Le Ministre délégué auprès  
du ministre de l'équipement,  
du transport et de la logistique,  
chargé du transport,_ **Mohamed Najib Boulif.** __ _Le Ministre de l'économie  
et des finances,_ **Mohammed Boussaid.** ****

 ### Source: URL: https://juridiahackhaton.blob.core.windows.net/fine-tuning/documents/7303.html type: Décret date_publication: 2014-10-27 title: Décret n° 2-14-783 du 2 moharrem 1436 (27 octobre 2014) portant approbation de l'avenant n° 1 à la convention de concession du 18 février 2007 relative à la réalisation, l'exploitation, le financement et la maintenance du nouveau système de gestion des permis de conduire et des cartes grises."
"Quel est le rôle du ministre délégué auprès du ministre de l'équipement, du transport et de la logistique, chargé du transport, dans ce décret ?","Le ministre délégué auprès du ministre de l'équipement, du transport et de la logistique, chargé du transport, est chargé, avec le ministre de l'économie et des finances, de l'exécution du présent décret.  Sa proposition a initié le processus menant à l'approbation de l'avenant n°1 à la convention de concession.
","### Context: ---  
**Bulletin officiel n° 6310 du 20 novembre 2014**  
**EDITION DE TRADUCTION OFFICIELLE**  
****  
**Décret n° 2-14-783 du 2 moharrem 1436 (27 octobre 2014) portant approbation
de l'avenant n° 1 à la convention de concession du 18 février 2007 relative à
la réalisation, l'exploitation, le financement et la maintenance du nouveau
système de gestion des permis de conduire et des cartes grises.** **** **Le
Chef du Gouvernement,** **** Vu la Constitution, notamment son article 90 ; Vu
la convention de concession pour la réalisation, l'exploitation, le
financement et la maintenance du nouveau système de gestion des permis de
conduire et des cartes grises électroniques, conclue en date du 18 février
2007 et notifiée au concessionnaire le 10 mai 2007 ; Sur proposition du
ministère délégué auprès du ministre de l'équipement, du transport et de la
logistique, chargé du transport ; Après visa du ministre de l'économie et des
finances, **** **Décrète :** **** **Article premier :** Est approuvé tel qu'il
est annexé à l'original du présent décret l'avenant n° 1 à la convention de
concession relative à la réalisation, l'exploitation, le financement et la
maintenance du nouveau système de gestion des permis de conduire et des cartes
grises conclue en date du 18 février 2007 entre le gouvernement du Royaume du
Maroc, représenté par le ministre de l'équipement et du transport et le
ministre de l'économie et des finances, et la société « ASSIAQA CARD »,
société anonyme de droit marocain, représentée par son directeur général.
**Article 2 :** Le Ministre délégué auprès du ministre de l'équipement, du
transport et de la logistique, chargé du transport et le ministre de
l'économie et des finances sont chargés, chacun en ce qui le concerne, de
l'exécution du présent décret qui sera publié au _Bulletin officiel_. _Fait à
Rabat, le 2 moharrem 1436 (27 octobre 2014)._ **Abdel-Ilah Benkiran.** Pour
contreseing :  _Le Ministre délégué auprès  
du ministre de l'équipement,  
du transport et de la logistique,  
chargé du transport,_ **Mohamed Najib Boulif.** __ _Le Ministre de l'économie  
et des finances,_ **Mohammed Boussaid.** ****

 ### Source: URL: https://juridiahackhaton.blob.core.windows.net/fine-tuning/documents/7303.html type: Décret date_publication: 2014-10-27 title: Décret n° 2-14-783 du 2 moharrem 1436 (27 octobre 2014) portant approbation de l'avenant n° 1 à la convention de concession du 18 février 2007 relative à la réalisation, l'exploitation, le financement et la maintenance du nouveau système de gestion des permis de conduire et des cartes grises."
À quelle date l'avenant n°1 à la convention a-t-il été approuvé ?,"L'avenant n°1 à la convention a été approuvé le 27 octobre 2014.
","### Context: ---  
**Bulletin officiel n° 6310 du 20 novembre 2014**  
**EDITION DE TRADUCTION OFFICIELLE**  
****  
**Décret n° 2-14-783 du 2 moharrem 1436 (27 octobre 2014) portant approbation
de l'avenant n° 1 à la convention de concession du 18 février 2007 relative à
la réalisation, l'exploitation, le financement et la maintenance du nouveau
système de gestion des permis de conduire et des cartes grises.** **** **Le
Chef du Gouvernement,** **** Vu la Constitution, notamment son article 90 ; Vu
la convention de concession pour la réalisation, l'exploitation, le
financement et la maintenance du nouveau système de gestion des permis de
conduire et des cartes grises électroniques, conclue en date du 18 février
2007 et notifiée au concessionnaire le 10 mai 2007 ; Sur proposition du
ministère délégué auprès du ministre de l'équipement, du transport et de la
logistique, chargé du transport ; Après visa du ministre de l'économie et des
finances, **** **Décrète :** **** **Article premier :** Est approuvé tel qu'il
est annexé à l'original du présent décret l'avenant n° 1 à la convention de
concession relative à la réalisation, l'exploitation, le financement et la
maintenance du nouveau système de gestion des permis de conduire et des cartes
grises conclue en date du 18 février 2007 entre le gouvernement du Royaume du
Maroc, représenté par le ministre de l'équipement et du transport et le
ministre de l'économie et des finances, et la société « ASSIAQA CARD »,
société anonyme de droit marocain, représentée par son directeur général.
**Article 2 :** Le Ministre délégué auprès du ministre de l'équipement, du
transport et de la logistique, chargé du transport et le ministre de
l'économie et des finances sont chargés, chacun en ce qui le concerne, de
l'exécution du présent décret qui sera publié au _Bulletin officiel_. _Fait à
Rabat, le 2 moharrem 1436 (27 octobre 2014)._ **Abdel-Ilah Benkiran.** Pour
contreseing :  _Le Ministre délégué auprès  
du ministre de l'équipement,  
du transport et de la logistique,  
chargé du transport,_ **Mohamed Najib Boulif.** __ _Le Ministre de l'économie  
et des finances,_ **Mohammed Boussaid.** ****

 ### Source: URL: https://juridiahackhaton.blob.core.windows.net/fine-tuning/documents/7303.html type: Décret date_publication: 2014-10-27 title: Décret n° 2-14-783 du 2 moharrem 1436 (27 octobre 2014) portant approbation de l'avenant n° 1 à la convention de concession du 18 février 2007 relative à la réalisation, l'exploitation, le financement et la maintenance du nouveau système de gestion des permis de conduire et des cartes grises."
