Question,Answer,Context
ما هو تاريخ صدور المرسوم المتعلق بتنظيم الطيران المدني المشار إليه في النص؟,"تاريخ صدور المرسوم المتعلق بتنظيم الطيران المدني المشار إليه في النص هو 7 صفر 1382 (10 يوليو 1962)،  كما هو موضح في عبارة ""Vu le décret n° 2-61-161 du 7 safar 1382 (10 juillet 1962) portant réglementation de l'aéronautique civile"".
","### Context: ---  
**Bulletin officiel n° 3164 du 20 juin 1973.**  
**EDITION DE TRADUCTION OFFICIELLE**  
****  
**Arrêté du ministre des travaux publics et des communications n° 142-73 du 27
kaada 1392 (3 janvier 1973) renouvelant une autorisation d'exploitation de
services aériens non-réguliers de transport public par avions-taxis et de
services de travail aérien.** **** **Le Ministre des Travaux Publics et des
Communications,** Vu le décret n° 2-61-161 du 7 safar 1382 (10 juillet 1962)
portant réglementation de l'aéronautique civile, tel qu'il a été complété et
modifié ; Vu l'arrêté du ministre des travaux publics et des communications n°
303-68 du 28 mai 1968 relatif à l'autorisation d'exploitation de services
aériens non-réguliers de transport public par avions-taxis et de services de
travail aérien ; Vu les arrêtés du ministre des travaux publics et des
communications en date du 5 décembre 1970 et du 19 janvier 1972 accordant une
autorisation d'exploitation de services aériens non-réguliers de transport
public par avions-taxis et de services de travail aérien à la Compagnie de
transports et de travaux aériens (C.T.T.A.) ; Vu la demande du 4 décembre 1972
présentée par la Compagnie de transports et de travaux aériens (C.T.T.A.),
**Arrête :** **Article Premier :** L'autorisation d'exploitation de services
aériens non-réguliers de transport public par avions-taxis et de services de
travail aérien délivrée à la Compagnie de transports et de travaux aériens
(C.T.T.A.) par les arrêtés précités, est renouvelée pour une période d'un an,
à compter du 5 décembre 1972. **Article 2 :** Le directeur de l'air est chargé
de l'exécution du présent arrêté qui sera publié au _Bulletin officiel_.
_Rabat, le 27 kaada 1392 (3 janvier 1973).  
_**Salah M'Zili.** ****

 ### Source: URL: https://juridiahackhaton.blob.core.windows.net/fine-tuning/documents/2322.html type: Arrêté date_publication: 1973-01-03 title: Arrêté du ministre des travaux publics et des communications n° 142-73 du 27 kaada 1392 (3 janvier 1973) renouvelant une autorisation d'exploitation de services aériens non-réguliers de transport public par avions-taxis et de services de travail aérien."
ما هو رقم المرسوم الذي ينظم الطيران المدني في المغرب، والذي تم ذكره في هذا النص؟,"رقم المرسوم الذي ينظم الطيران المدني في المغرب، والذي تم ذكره في النص هو  ٢-٦١-١٦١  بتاريخ ٧ صفر ١٣٨٢ (١٠ يوليوز ١٩٦٢).
","### Context: ---  
**Bulletin officiel n° 3164 du 20 juin 1973.**  
**EDITION DE TRADUCTION OFFICIELLE**  
****  
**Arrêté du ministre des travaux publics et des communications n° 142-73 du 27
kaada 1392 (3 janvier 1973) renouvelant une autorisation d'exploitation de
services aériens non-réguliers de transport public par avions-taxis et de
services de travail aérien.** **** **Le Ministre des Travaux Publics et des
Communications,** Vu le décret n° 2-61-161 du 7 safar 1382 (10 juillet 1962)
portant réglementation de l'aéronautique civile, tel qu'il a été complété et
modifié ; Vu l'arrêté du ministre des travaux publics et des communications n°
303-68 du 28 mai 1968 relatif à l'autorisation d'exploitation de services
aériens non-réguliers de transport public par avions-taxis et de services de
travail aérien ; Vu les arrêtés du ministre des travaux publics et des
communications en date du 5 décembre 1970 et du 19 janvier 1972 accordant une
autorisation d'exploitation de services aériens non-réguliers de transport
public par avions-taxis et de services de travail aérien à la Compagnie de
transports et de travaux aériens (C.T.T.A.) ; Vu la demande du 4 décembre 1972
présentée par la Compagnie de transports et de travaux aériens (C.T.T.A.),
**Arrête :** **Article Premier :** L'autorisation d'exploitation de services
aériens non-réguliers de transport public par avions-taxis et de services de
travail aérien délivrée à la Compagnie de transports et de travaux aériens
(C.T.T.A.) par les arrêtés précités, est renouvelée pour une période d'un an,
à compter du 5 décembre 1972. **Article 2 :** Le directeur de l'air est chargé
de l'exécution du présent arrêté qui sera publié au _Bulletin officiel_.
_Rabat, le 27 kaada 1392 (3 janvier 1973).  
_**Salah M'Zili.** ****

 ### Source: URL: https://juridiahackhaton.blob.core.windows.net/fine-tuning/documents/2322.html type: Arrêté date_publication: 1973-01-03 title: Arrêté du ministre des travaux publics et des communications n° 142-73 du 27 kaada 1392 (3 janvier 1973) renouvelant une autorisation d'exploitation de services aériens non-réguliers de transport public par avions-taxis et de services de travail aérien."
ما هي الجهة التي قدمت طلب تجديد ترخيص تشغيل خدمات الطيران غير المنتظمة؟,"الجهة التي قدمت طلب تجديد ترخيص تشغيل خدمات الطيران غير المنتظمة هي شركة النقل والاشغال الجوية (C.T.T.A).  هذا موضح صراحةً في النص الذي ينص على أن الطلب قدم في 4 ديسمبر 1972 من قبل  Compagnie de transports et de travaux aériens (C.T.T.A.).
","### Context: ---  
**Bulletin officiel n° 3164 du 20 juin 1973.**  
**EDITION DE TRADUCTION OFFICIELLE**  
****  
**Arrêté du ministre des travaux publics et des communications n° 142-73 du 27
kaada 1392 (3 janvier 1973) renouvelant une autorisation d'exploitation de
services aériens non-réguliers de transport public par avions-taxis et de
services de travail aérien.** **** **Le Ministre des Travaux Publics et des
Communications,** Vu le décret n° 2-61-161 du 7 safar 1382 (10 juillet 1962)
portant réglementation de l'aéronautique civile, tel qu'il a été complété et
modifié ; Vu l'arrêté du ministre des travaux publics et des communications n°
303-68 du 28 mai 1968 relatif à l'autorisation d'exploitation de services
aériens non-réguliers de transport public par avions-taxis et de services de
travail aérien ; Vu les arrêtés du ministre des travaux publics et des
communications en date du 5 décembre 1970 et du 19 janvier 1972 accordant une
autorisation d'exploitation de services aériens non-réguliers de transport
public par avions-taxis et de services de travail aérien à la Compagnie de
transports et de travaux aériens (C.T.T.A.) ; Vu la demande du 4 décembre 1972
présentée par la Compagnie de transports et de travaux aériens (C.T.T.A.),
**Arrête :** **Article Premier :** L'autorisation d'exploitation de services
aériens non-réguliers de transport public par avions-taxis et de services de
travail aérien délivrée à la Compagnie de transports et de travaux aériens
(C.T.T.A.) par les arrêtés précités, est renouvelée pour une période d'un an,
à compter du 5 décembre 1972. **Article 2 :** Le directeur de l'air est chargé
de l'exécution du présent arrêté qui sera publié au _Bulletin officiel_.
_Rabat, le 27 kaada 1392 (3 janvier 1973).  
_**Salah M'Zili.** ****

 ### Source: URL: https://juridiahackhaton.blob.core.windows.net/fine-tuning/documents/2322.html type: Arrêté date_publication: 1973-01-03 title: Arrêté du ministre des travaux publics et des communications n° 142-73 du 27 kaada 1392 (3 janvier 1973) renouvelant une autorisation d'exploitation de services aériens non-réguliers de transport public par avions-taxis et de services de travail aérien."
ما هي أنواع الخدمات الجوية التي يغطيها ترخيص شركة النقل والعمل الجوي (C.T.T.A.)؟,"يغطي ترخيص شركة النقل والعمل الجوي (C.T.T.A.) نوعين من الخدمات الجوية:

1. **خدمات جوية غير منتظمة لنقل الركاب بواسطة طائرات الأجرة:**  وهذا يشمل رحلات الطيران غير المجدولة  لنقل الركاب بطائرات صغيرة.

2. **خدمات العمل الجوي:**  وهذا يشمل استخدام الطائرات لأغراض العمل، مثل الرش الجوي للمحاصيل، أو أعمال المسح الجوي، أو غيرها من الأعمال التي تتطلب استخدام الطائرات.
","### Context: ---  
**Bulletin officiel n° 3164 du 20 juin 1973.**  
**EDITION DE TRADUCTION OFFICIELLE**  
****  
**Arrêté du ministre des travaux publics et des communications n° 142-73 du 27
kaada 1392 (3 janvier 1973) renouvelant une autorisation d'exploitation de
services aériens non-réguliers de transport public par avions-taxis et de
services de travail aérien.** **** **Le Ministre des Travaux Publics et des
Communications,** Vu le décret n° 2-61-161 du 7 safar 1382 (10 juillet 1962)
portant réglementation de l'aéronautique civile, tel qu'il a été complété et
modifié ; Vu l'arrêté du ministre des travaux publics et des communications n°
303-68 du 28 mai 1968 relatif à l'autorisation d'exploitation de services
aériens non-réguliers de transport public par avions-taxis et de services de
travail aérien ; Vu les arrêtés du ministre des travaux publics et des
communications en date du 5 décembre 1970 et du 19 janvier 1972 accordant une
autorisation d'exploitation de services aériens non-réguliers de transport
public par avions-taxis et de services de travail aérien à la Compagnie de
transports et de travaux aériens (C.T.T.A.) ; Vu la demande du 4 décembre 1972
présentée par la Compagnie de transports et de travaux aériens (C.T.T.A.),
**Arrête :** **Article Premier :** L'autorisation d'exploitation de services
aériens non-réguliers de transport public par avions-taxis et de services de
travail aérien délivrée à la Compagnie de transports et de travaux aériens
(C.T.T.A.) par les arrêtés précités, est renouvelée pour une période d'un an,
à compter du 5 décembre 1972. **Article 2 :** Le directeur de l'air est chargé
de l'exécution du présent arrêté qui sera publié au _Bulletin officiel_.
_Rabat, le 27 kaada 1392 (3 janvier 1973).  
_**Salah M'Zili.** ****

 ### Source: URL: https://juridiahackhaton.blob.core.windows.net/fine-tuning/documents/2322.html type: Arrêté date_publication: 1973-01-03 title: Arrêté du ministre des travaux publics et des communications n° 142-73 du 27 kaada 1392 (3 janvier 1973) renouvelant une autorisation d'exploitation de services aériens non-réguliers de transport public par avions-taxis et de services de travail aérien."
ما هو اسم الوزير الذي وقع على المرسوم المتعلق بتجديد ترخيص شركة النقل والعمل الجوي (C.T.T.A.)؟,"وقع المرسوم المتعلق بتجديد ترخيص شركة النقل والعمل الجوي (C.T.T.A.)  صلاح مزيل، وزير الأشغال العمومية والاتصالات.
","### Context: ---  
**Bulletin officiel n° 3164 du 20 juin 1973.**  
**EDITION DE TRADUCTION OFFICIELLE**  
****  
**Arrêté du ministre des travaux publics et des communications n° 142-73 du 27
kaada 1392 (3 janvier 1973) renouvelant une autorisation d'exploitation de
services aériens non-réguliers de transport public par avions-taxis et de
services de travail aérien.** **** **Le Ministre des Travaux Publics et des
Communications,** Vu le décret n° 2-61-161 du 7 safar 1382 (10 juillet 1962)
portant réglementation de l'aéronautique civile, tel qu'il a été complété et
modifié ; Vu l'arrêté du ministre des travaux publics et des communications n°
303-68 du 28 mai 1968 relatif à l'autorisation d'exploitation de services
aériens non-réguliers de transport public par avions-taxis et de services de
travail aérien ; Vu les arrêtés du ministre des travaux publics et des
communications en date du 5 décembre 1970 et du 19 janvier 1972 accordant une
autorisation d'exploitation de services aériens non-réguliers de transport
public par avions-taxis et de services de travail aérien à la Compagnie de
transports et de travaux aériens (C.T.T.A.) ; Vu la demande du 4 décembre 1972
présentée par la Compagnie de transports et de travaux aériens (C.T.T.A.),
**Arrête :** **Article Premier :** L'autorisation d'exploitation de services
aériens non-réguliers de transport public par avions-taxis et de services de
travail aérien délivrée à la Compagnie de transports et de travaux aériens
(C.T.T.A.) par les arrêtés précités, est renouvelée pour une période d'un an,
à compter du 5 décembre 1972. **Article 2 :** Le directeur de l'air est chargé
de l'exécution du présent arrêté qui sera publié au _Bulletin officiel_.
_Rabat, le 27 kaada 1392 (3 janvier 1973).  
_**Salah M'Zili.** ****

 ### Source: URL: https://juridiahackhaton.blob.core.windows.net/fine-tuning/documents/2322.html type: Arrêté date_publication: 1973-01-03 title: Arrêté du ministre des travaux publics et des communications n° 142-73 du 27 kaada 1392 (3 janvier 1973) renouvelant une autorisation d'exploitation de services aériens non-réguliers de transport public par avions-taxis et de services de travail aérien."
ما هو تاريخ تقديم طلب تجديد ترخيص تشغيل خدمات الطيران غير المنتظمة من قبل شركة النقل والعمل الجوي (C.T.T.A.)؟,"تاريخ تقديم طلب تجديد ترخيص تشغيل خدمات الطيران غير المنتظمة من قبل شركة النقل والعمل الجوي (C.T.T.A.) هو 4 ديسمبر 1972.
","### Context: ---  
**Bulletin officiel n° 3164 du 20 juin 1973.**  
**EDITION DE TRADUCTION OFFICIELLE**  
****  
**Arrêté du ministre des travaux publics et des communications n° 142-73 du 27
kaada 1392 (3 janvier 1973) renouvelant une autorisation d'exploitation de
services aériens non-réguliers de transport public par avions-taxis et de
services de travail aérien.** **** **Le Ministre des Travaux Publics et des
Communications,** Vu le décret n° 2-61-161 du 7 safar 1382 (10 juillet 1962)
portant réglementation de l'aéronautique civile, tel qu'il a été complété et
modifié ; Vu l'arrêté du ministre des travaux publics et des communications n°
303-68 du 28 mai 1968 relatif à l'autorisation d'exploitation de services
aériens non-réguliers de transport public par avions-taxis et de services de
travail aérien ; Vu les arrêtés du ministre des travaux publics et des
communications en date du 5 décembre 1970 et du 19 janvier 1972 accordant une
autorisation d'exploitation de services aériens non-réguliers de transport
public par avions-taxis et de services de travail aérien à la Compagnie de
transports et de travaux aériens (C.T.T.A.) ; Vu la demande du 4 décembre 1972
présentée par la Compagnie de transports et de travaux aériens (C.T.T.A.),
**Arrête :** **Article Premier :** L'autorisation d'exploitation de services
aériens non-réguliers de transport public par avions-taxis et de services de
travail aérien délivrée à la Compagnie de transports et de travaux aériens
(C.T.T.A.) par les arrêtés précités, est renouvelée pour une période d'un an,
à compter du 5 décembre 1972. **Article 2 :** Le directeur de l'air est chargé
de l'exécution du présent arrêté qui sera publié au _Bulletin officiel_.
_Rabat, le 27 kaada 1392 (3 janvier 1973).  
_**Salah M'Zili.** ****

 ### Source: URL: https://juridiahackhaton.blob.core.windows.net/fine-tuning/documents/2322.html type: Arrêté date_publication: 1973-01-03 title: Arrêté du ministre des travaux publics et des communications n° 142-73 du 27 kaada 1392 (3 janvier 1973) renouvelant une autorisation d'exploitation de services aériens non-réguliers de transport public par avions-taxis et de services de travail aérien."
ما هي الأوامر السابقة التي تم الاستناد إليها في إصدار هذا المرسوم المتعلق بتجديد الترخيص؟,"استند هذا المرسوم المتعلق بتجديد ترخيص شركة النقل والعمل الجوي (C.T.T.A)  لخدمات النقل الجوي غير المنتظم وخدمات العمل الجوي على عدة أوامر سابقة، وهي:

* **المرسوم رقم 2-61-161 المؤرخ في 7 صفر 1382 (10 يوليوز 1962):**  وهو المرسوم المتعلق بتنظيم الطيران المدني، كما تم تعديله وتكميله.  هذا المرسوم يمثل الإطار القانوني العام الذي يخضع له هذا النشاط.

* **المرسوم رقم 303-68 المؤرخ في 28 ماي 1968:**  وهو المرسوم المتعلق بترخيص تشغيل خدمات النقل الجوي غير المنتظم بواسطة طائرات الأجرة وخدمات العمل الجوي.  هذا المرسوم يحدد الشروط والمتطلبات اللازمة للحصول على هذا الترخيص.

* **مرسومان سابقان صادران عن وزير الأشغال العمومية والاتصالات:** أحدهما مؤرخ في 5 دجنبر 1970 والآخر في 19 يناير 1972.  كلا المرسومين منحهما ترخيصًا سابقًا لشركة C.T.T.A.  للتشغيل في نفس المجال،  وهما يشكلان الأساس لتجديد الترخيص الحالي.

باختصار، يعتمد هذا المرسوم على إطار قانوني عام (مرسوم 1962) وقواعد محددة لترخيص هذا النوع من النشاط (مرسوم 1968) بالإضافة إلى تراخيص سابقة مُنحت للشركة المعنية.
","### Context: ---  
**Bulletin officiel n° 3164 du 20 juin 1973.**  
**EDITION DE TRADUCTION OFFICIELLE**  
****  
**Arrêté du ministre des travaux publics et des communications n° 142-73 du 27
kaada 1392 (3 janvier 1973) renouvelant une autorisation d'exploitation de
services aériens non-réguliers de transport public par avions-taxis et de
services de travail aérien.** **** **Le Ministre des Travaux Publics et des
Communications,** Vu le décret n° 2-61-161 du 7 safar 1382 (10 juillet 1962)
portant réglementation de l'aéronautique civile, tel qu'il a été complété et
modifié ; Vu l'arrêté du ministre des travaux publics et des communications n°
303-68 du 28 mai 1968 relatif à l'autorisation d'exploitation de services
aériens non-réguliers de transport public par avions-taxis et de services de
travail aérien ; Vu les arrêtés du ministre des travaux publics et des
communications en date du 5 décembre 1970 et du 19 janvier 1972 accordant une
autorisation d'exploitation de services aériens non-réguliers de transport
public par avions-taxis et de services de travail aérien à la Compagnie de
transports et de travaux aériens (C.T.T.A.) ; Vu la demande du 4 décembre 1972
présentée par la Compagnie de transports et de travaux aériens (C.T.T.A.),
**Arrête :** **Article Premier :** L'autorisation d'exploitation de services
aériens non-réguliers de transport public par avions-taxis et de services de
travail aérien délivrée à la Compagnie de transports et de travaux aériens
(C.T.T.A.) par les arrêtés précités, est renouvelée pour une période d'un an,
à compter du 5 décembre 1972. **Article 2 :** Le directeur de l'air est chargé
de l'exécution du présent arrêté qui sera publié au _Bulletin officiel_.
_Rabat, le 27 kaada 1392 (3 janvier 1973).  
_**Salah M'Zili.** ****

 ### Source: URL: https://juridiahackhaton.blob.core.windows.net/fine-tuning/documents/2322.html type: Arrêté date_publication: 1973-01-03 title: Arrêté du ministre des travaux publics et des communications n° 142-73 du 27 kaada 1392 (3 janvier 1973) renouvelant une autorisation d'exploitation de services aériens non-réguliers de transport public par avions-taxis et de services de travail aérien."
Quel est le numéro de l'arrêté renouvelant l'autorisation d'exploitation ?,"Le numéro de l'arrêté renouvelant l'autorisation d'exploitation est le 142-73.
","### Context: ---  
**Bulletin officiel n° 3164 du 20 juin 1973.**  
**EDITION DE TRADUCTION OFFICIELLE**  
****  
**Arrêté du ministre des travaux publics et des communications n° 142-73 du 27
kaada 1392 (3 janvier 1973) renouvelant une autorisation d'exploitation de
services aériens non-réguliers de transport public par avions-taxis et de
services de travail aérien.** **** **Le Ministre des Travaux Publics et des
Communications,** Vu le décret n° 2-61-161 du 7 safar 1382 (10 juillet 1962)
portant réglementation de l'aéronautique civile, tel qu'il a été complété et
modifié ; Vu l'arrêté du ministre des travaux publics et des communications n°
303-68 du 28 mai 1968 relatif à l'autorisation d'exploitation de services
aériens non-réguliers de transport public par avions-taxis et de services de
travail aérien ; Vu les arrêtés du ministre des travaux publics et des
communications en date du 5 décembre 1970 et du 19 janvier 1972 accordant une
autorisation d'exploitation de services aériens non-réguliers de transport
public par avions-taxis et de services de travail aérien à la Compagnie de
transports et de travaux aériens (C.T.T.A.) ; Vu la demande du 4 décembre 1972
présentée par la Compagnie de transports et de travaux aériens (C.T.T.A.),
**Arrête :** **Article Premier :** L'autorisation d'exploitation de services
aériens non-réguliers de transport public par avions-taxis et de services de
travail aérien délivrée à la Compagnie de transports et de travaux aériens
(C.T.T.A.) par les arrêtés précités, est renouvelée pour une période d'un an,
à compter du 5 décembre 1972. **Article 2 :** Le directeur de l'air est chargé
de l'exécution du présent arrêté qui sera publié au _Bulletin officiel_.
_Rabat, le 27 kaada 1392 (3 janvier 1973).  
_**Salah M'Zili.** ****

 ### Source: URL: https://juridiahackhaton.blob.core.windows.net/fine-tuning/documents/2322.html type: Arrêté date_publication: 1973-01-03 title: Arrêté du ministre des travaux publics et des communications n° 142-73 du 27 kaada 1392 (3 janvier 1973) renouvelant une autorisation d'exploitation de services aériens non-réguliers de transport public par avions-taxis et de services de travail aérien."
Quelle est la durée du renouvellement de l'autorisation accordée à la C.T.T.A. ?,"Le renouvellement de l'autorisation d'exploitation de services aériens non-réguliers de transport public par avions-taxis et de services de travail aérien, accordée à la Compagnie de transports et de travaux aériens (C.T.T.A.), est d'une durée d'un an, à compter du 5 décembre 1972.
","### Context: ---  
**Bulletin officiel n° 3164 du 20 juin 1973.**  
**EDITION DE TRADUCTION OFFICIELLE**  
****  
**Arrêté du ministre des travaux publics et des communications n° 142-73 du 27
kaada 1392 (3 janvier 1973) renouvelant une autorisation d'exploitation de
services aériens non-réguliers de transport public par avions-taxis et de
services de travail aérien.** **** **Le Ministre des Travaux Publics et des
Communications,** Vu le décret n° 2-61-161 du 7 safar 1382 (10 juillet 1962)
portant réglementation de l'aéronautique civile, tel qu'il a été complété et
modifié ; Vu l'arrêté du ministre des travaux publics et des communications n°
303-68 du 28 mai 1968 relatif à l'autorisation d'exploitation de services
aériens non-réguliers de transport public par avions-taxis et de services de
travail aérien ; Vu les arrêtés du ministre des travaux publics et des
communications en date du 5 décembre 1970 et du 19 janvier 1972 accordant une
autorisation d'exploitation de services aériens non-réguliers de transport
public par avions-taxis et de services de travail aérien à la Compagnie de
transports et de travaux aériens (C.T.T.A.) ; Vu la demande du 4 décembre 1972
présentée par la Compagnie de transports et de travaux aériens (C.T.T.A.),
**Arrête :** **Article Premier :** L'autorisation d'exploitation de services
aériens non-réguliers de transport public par avions-taxis et de services de
travail aérien délivrée à la Compagnie de transports et de travaux aériens
(C.T.T.A.) par les arrêtés précités, est renouvelée pour une période d'un an,
à compter du 5 décembre 1972. **Article 2 :** Le directeur de l'air est chargé
de l'exécution du présent arrêté qui sera publié au _Bulletin officiel_.
_Rabat, le 27 kaada 1392 (3 janvier 1973).  
_**Salah M'Zili.** ****

 ### Source: URL: https://juridiahackhaton.blob.core.windows.net/fine-tuning/documents/2322.html type: Arrêté date_publication: 1973-01-03 title: Arrêté du ministre des travaux publics et des communications n° 142-73 du 27 kaada 1392 (3 janvier 1973) renouvelant une autorisation d'exploitation de services aériens non-réguliers de transport public par avions-taxis et de services de travail aérien."
Quelle est la date de début de validité du renouvellement de l'autorisation ?,"Le renouvellement de l'autorisation d'exploitation de services aériens non-réguliers de transport public par avions-taxis et de services de travail aérien pour la Compagnie de transports et de travaux aériens (C.T.T.A.) est valable à compter du **5 décembre 1972**.
","### Context: ---  
**Bulletin officiel n° 3164 du 20 juin 1973.**  
**EDITION DE TRADUCTION OFFICIELLE**  
****  
**Arrêté du ministre des travaux publics et des communications n° 142-73 du 27
kaada 1392 (3 janvier 1973) renouvelant une autorisation d'exploitation de
services aériens non-réguliers de transport public par avions-taxis et de
services de travail aérien.** **** **Le Ministre des Travaux Publics et des
Communications,** Vu le décret n° 2-61-161 du 7 safar 1382 (10 juillet 1962)
portant réglementation de l'aéronautique civile, tel qu'il a été complété et
modifié ; Vu l'arrêté du ministre des travaux publics et des communications n°
303-68 du 28 mai 1968 relatif à l'autorisation d'exploitation de services
aériens non-réguliers de transport public par avions-taxis et de services de
travail aérien ; Vu les arrêtés du ministre des travaux publics et des
communications en date du 5 décembre 1970 et du 19 janvier 1972 accordant une
autorisation d'exploitation de services aériens non-réguliers de transport
public par avions-taxis et de services de travail aérien à la Compagnie de
transports et de travaux aériens (C.T.T.A.) ; Vu la demande du 4 décembre 1972
présentée par la Compagnie de transports et de travaux aériens (C.T.T.A.),
**Arrête :** **Article Premier :** L'autorisation d'exploitation de services
aériens non-réguliers de transport public par avions-taxis et de services de
travail aérien délivrée à la Compagnie de transports et de travaux aériens
(C.T.T.A.) par les arrêtés précités, est renouvelée pour une période d'un an,
à compter du 5 décembre 1972. **Article 2 :** Le directeur de l'air est chargé
de l'exécution du présent arrêté qui sera publié au _Bulletin officiel_.
_Rabat, le 27 kaada 1392 (3 janvier 1973).  
_**Salah M'Zili.** ****

 ### Source: URL: https://juridiahackhaton.blob.core.windows.net/fine-tuning/documents/2322.html type: Arrêté date_publication: 1973-01-03 title: Arrêté du ministre des travaux publics et des communications n° 142-73 du 27 kaada 1392 (3 janvier 1973) renouvelant une autorisation d'exploitation de services aériens non-réguliers de transport public par avions-taxis et de services de travail aérien."
