Question,Answer,Context
ما هي مدة تجديد ترخيص شركة الخطوط الجوية الجنوبية لخدمات النقل الجوي غير المنتظم؟,"تم تجديد ترخيص شركة الخطوط الجوية الجنوبية (Air Sud)  لخدمات النقل الجوي غير المنتظم لمدة سنة واحدة، تبدأ من 29 ذي الحجة 1395 (1 يناير 1976) ، وذلك وفقًا للمرسوم رقم 517-76 المؤرخ في 23 ذي الحجة 1395 (26 ديسمبر 1975).
","### Context: ---  
**Bulletin Officiel n° 3315 du 12 joumada I 1396 (12 mai 1976).**  
**EDITION DE TRADUCTION OFFICIELLE**  
****  
**Arrêté du ministre des travaux publics et des communications n° 517-76 du  
23 hija 1395 (26 décembre 1975) renouvelant une autorisation d'exploitation de
services aériens non-réguliers de transport public par avions-taxis.** ****
**Le Ministre des travaux publics et des communications,** Vu l'arrêté du
ministre des travaux publics et des communications n° 303-68 du 29 safar 1388
(28 mai 1968) relatif à l'autorisation d'exploitation de services aériens non-
réguliers de transport public et de services de travail aérien ; Vu l'arrêté
du ministre des travaux publics et des communications n° 300-75 du 1er safar
1395 (13 février 1975) accordant une autorisation d'exploitation de services
aériens non-réguliers de transport public par avions-taxis à la Société Air
Sud ; Vu la demande de renouvellement présentée par ladite société dont le
siège est transféré au Hangar 68, aéroport de Casablanca-Anfa, **Arrête :**
**Article Premier :** L'autorisation d'exploitation de services aériens non-
réguliers de transport public par avions-taxis délivrée à la Société Air Sud
par l'arrêté susvisé n° 300-75 du 1er safar 1395 (13 février 1975) est
renouvelée pour une période d'un an à compter du 29 hija 1395 (1er janvier
1976). **Article 2 :** Le directeur de l'air est chargé de l'exécution du
présent arrêté qui sera publié au _Bulletin officiel._ __ _Rabat, le 23 hija
1395 (26 décembre 1975).  
_**Ahmed Tazi.** ****

 ### Source: URL: https://juridiahackhaton.blob.core.windows.net/fine-tuning/documents/2440.html type: Arrêté date_publication: 1975-12-26 title: Arrêté du ministre des travaux publics et des communications n° 517-76 du 23 hija 1395 (26 décembre 1975) renouvelant une autorisation d'exploitation de services aériens non-réguliers de transport public par avions-taxis."
ما هو رقم القرار الوزاري الذي جدد ترخيص شركة الخطوط الجوية الجنوبية؟,"رقم القرار الوزاري الذي جدد ترخيص شركة الخطوط الجوية الجنوبية (Air Sud) هو 517-76، المؤرخ في 23 ذي الحجة 1395 (26 ديسمبر 1975).
","### Context: ---  
**Bulletin Officiel n° 3315 du 12 joumada I 1396 (12 mai 1976).**  
**EDITION DE TRADUCTION OFFICIELLE**  
****  
**Arrêté du ministre des travaux publics et des communications n° 517-76 du  
23 hija 1395 (26 décembre 1975) renouvelant une autorisation d'exploitation de
services aériens non-réguliers de transport public par avions-taxis.** ****
**Le Ministre des travaux publics et des communications,** Vu l'arrêté du
ministre des travaux publics et des communications n° 303-68 du 29 safar 1388
(28 mai 1968) relatif à l'autorisation d'exploitation de services aériens non-
réguliers de transport public et de services de travail aérien ; Vu l'arrêté
du ministre des travaux publics et des communications n° 300-75 du 1er safar
1395 (13 février 1975) accordant une autorisation d'exploitation de services
aériens non-réguliers de transport public par avions-taxis à la Société Air
Sud ; Vu la demande de renouvellement présentée par ladite société dont le
siège est transféré au Hangar 68, aéroport de Casablanca-Anfa, **Arrête :**
**Article Premier :** L'autorisation d'exploitation de services aériens non-
réguliers de transport public par avions-taxis délivrée à la Société Air Sud
par l'arrêté susvisé n° 300-75 du 1er safar 1395 (13 février 1975) est
renouvelée pour une période d'un an à compter du 29 hija 1395 (1er janvier
1976). **Article 2 :** Le directeur de l'air est chargé de l'exécution du
présent arrêté qui sera publié au _Bulletin officiel._ __ _Rabat, le 23 hija
1395 (26 décembre 1975).  
_**Ahmed Tazi.** ****

 ### Source: URL: https://juridiahackhaton.blob.core.windows.net/fine-tuning/documents/2440.html type: Arrêté date_publication: 1975-12-26 title: Arrêté du ministre des travaux publics et des communications n° 517-76 du 23 hija 1395 (26 décembre 1975) renouvelant une autorisation d'exploitation de services aériens non-réguliers de transport public par avions-taxis."
ما هو تاريخ القرار الوزاري رقم 300-75 الذي يخص شركة الخطوط الجوية الجنوبية؟,"يُشير النص إلى أن القرار الوزاري رقم 300-75، الذي يمنح شركة الخطوط الجوية الجنوبية (Air Sud) ترخيصاً لتشغيل خدمات جوية غير منتظمة لنقل الركاب بطائرات الأجرة،  صدر في  1 صفر 1395 هجري، الموافق 13 فبراير 1975 ميلادي.
","### Context: ---  
**Bulletin Officiel n° 3315 du 12 joumada I 1396 (12 mai 1976).**  
**EDITION DE TRADUCTION OFFICIELLE**  
****  
**Arrêté du ministre des travaux publics et des communications n° 517-76 du  
23 hija 1395 (26 décembre 1975) renouvelant une autorisation d'exploitation de
services aériens non-réguliers de transport public par avions-taxis.** ****
**Le Ministre des travaux publics et des communications,** Vu l'arrêté du
ministre des travaux publics et des communications n° 303-68 du 29 safar 1388
(28 mai 1968) relatif à l'autorisation d'exploitation de services aériens non-
réguliers de transport public et de services de travail aérien ; Vu l'arrêté
du ministre des travaux publics et des communications n° 300-75 du 1er safar
1395 (13 février 1975) accordant une autorisation d'exploitation de services
aériens non-réguliers de transport public par avions-taxis à la Société Air
Sud ; Vu la demande de renouvellement présentée par ladite société dont le
siège est transféré au Hangar 68, aéroport de Casablanca-Anfa, **Arrête :**
**Article Premier :** L'autorisation d'exploitation de services aériens non-
réguliers de transport public par avions-taxis délivrée à la Société Air Sud
par l'arrêté susvisé n° 300-75 du 1er safar 1395 (13 février 1975) est
renouvelée pour une période d'un an à compter du 29 hija 1395 (1er janvier
1976). **Article 2 :** Le directeur de l'air est chargé de l'exécution du
présent arrêté qui sera publié au _Bulletin officiel._ __ _Rabat, le 23 hija
1395 (26 décembre 1975).  
_**Ahmed Tazi.** ****

 ### Source: URL: https://juridiahackhaton.blob.core.windows.net/fine-tuning/documents/2440.html type: Arrêté date_publication: 1975-12-26 title: Arrêté du ministre des travaux publics et des communications n° 517-76 du 23 hija 1395 (26 décembre 1975) renouvelant une autorisation d'exploitation de services aériens non-réguliers de transport public par avions-taxis."
أين يقع مقر شركة الخطوط الجوية الجنوبية بعد نقل مقرها؟,"بعد نقل مقرها، يقع مقر شركة الخطوط الجوية الجنوبية (Air Sud) في حظيرة رقم 68، بمطار أنفا بالدار البيضاء، حسبما ورد في نص المرسوم.
","### Context: ---  
**Bulletin Officiel n° 3315 du 12 joumada I 1396 (12 mai 1976).**  
**EDITION DE TRADUCTION OFFICIELLE**  
****  
**Arrêté du ministre des travaux publics et des communications n° 517-76 du  
23 hija 1395 (26 décembre 1975) renouvelant une autorisation d'exploitation de
services aériens non-réguliers de transport public par avions-taxis.** ****
**Le Ministre des travaux publics et des communications,** Vu l'arrêté du
ministre des travaux publics et des communications n° 303-68 du 29 safar 1388
(28 mai 1968) relatif à l'autorisation d'exploitation de services aériens non-
réguliers de transport public et de services de travail aérien ; Vu l'arrêté
du ministre des travaux publics et des communications n° 300-75 du 1er safar
1395 (13 février 1975) accordant une autorisation d'exploitation de services
aériens non-réguliers de transport public par avions-taxis à la Société Air
Sud ; Vu la demande de renouvellement présentée par ladite société dont le
siège est transféré au Hangar 68, aéroport de Casablanca-Anfa, **Arrête :**
**Article Premier :** L'autorisation d'exploitation de services aériens non-
réguliers de transport public par avions-taxis délivrée à la Société Air Sud
par l'arrêté susvisé n° 300-75 du 1er safar 1395 (13 février 1975) est
renouvelée pour une période d'un an à compter du 29 hija 1395 (1er janvier
1976). **Article 2 :** Le directeur de l'air est chargé de l'exécution du
présent arrêté qui sera publié au _Bulletin officiel._ __ _Rabat, le 23 hija
1395 (26 décembre 1975).  
_**Ahmed Tazi.** ****

 ### Source: URL: https://juridiahackhaton.blob.core.windows.net/fine-tuning/documents/2440.html type: Arrêté date_publication: 1975-12-26 title: Arrêté du ministre des travaux publics et des communications n° 517-76 du 23 hija 1395 (26 décembre 1975) renouvelant une autorisation d'exploitation de services aériens non-réguliers de transport public par avions-taxis."
ما هو نوع الخدمات الجوية التي تقدمها شركة الخطوط الجوية الجنوبية وفقًا للقرار؟,"وفقًا للقرار رقم 517-76 المؤرخ في 26 ديسمبر 1975، تقدم شركة الخطوط الجوية الجنوبية (Air Sud) خدمات جوية غير منتظمة لنقل الركاب بواسطة طائرات الأجرة (avions-taxis).
","### Context: ---  
**Bulletin Officiel n° 3315 du 12 joumada I 1396 (12 mai 1976).**  
**EDITION DE TRADUCTION OFFICIELLE**  
****  
**Arrêté du ministre des travaux publics et des communications n° 517-76 du  
23 hija 1395 (26 décembre 1975) renouvelant une autorisation d'exploitation de
services aériens non-réguliers de transport public par avions-taxis.** ****
**Le Ministre des travaux publics et des communications,** Vu l'arrêté du
ministre des travaux publics et des communications n° 303-68 du 29 safar 1388
(28 mai 1968) relatif à l'autorisation d'exploitation de services aériens non-
réguliers de transport public et de services de travail aérien ; Vu l'arrêté
du ministre des travaux publics et des communications n° 300-75 du 1er safar
1395 (13 février 1975) accordant une autorisation d'exploitation de services
aériens non-réguliers de transport public par avions-taxis à la Société Air
Sud ; Vu la demande de renouvellement présentée par ladite société dont le
siège est transféré au Hangar 68, aéroport de Casablanca-Anfa, **Arrête :**
**Article Premier :** L'autorisation d'exploitation de services aériens non-
réguliers de transport public par avions-taxis délivrée à la Société Air Sud
par l'arrêté susvisé n° 300-75 du 1er safar 1395 (13 février 1975) est
renouvelée pour une période d'un an à compter du 29 hija 1395 (1er janvier
1976). **Article 2 :** Le directeur de l'air est chargé de l'exécution du
présent arrêté qui sera publié au _Bulletin officiel._ __ _Rabat, le 23 hija
1395 (26 décembre 1975).  
_**Ahmed Tazi.** ****

 ### Source: URL: https://juridiahackhaton.blob.core.windows.net/fine-tuning/documents/2440.html type: Arrêté date_publication: 1975-12-26 title: Arrêté du ministre des travaux publics et des communications n° 517-76 du 23 hija 1395 (26 décembre 1975) renouvelant une autorisation d'exploitation de services aériens non-réguliers de transport public par avions-taxis."
ما هو اسم الوزير الذي وقع القرار المتعلق بتجديد ترخيص شركة الخطوط الجوية الجنوبية؟,"الوزير الذي وقع القرار المتعلق بتجديد ترخيص شركة الخطوط الجوية الجنوبية (Air Sud) هو **أحمد تازي**.  وهو وزير الأشغال العمومية والاتصالات آنذاك.
","### Context: ---  
**Bulletin Officiel n° 3315 du 12 joumada I 1396 (12 mai 1976).**  
**EDITION DE TRADUCTION OFFICIELLE**  
****  
**Arrêté du ministre des travaux publics et des communications n° 517-76 du  
23 hija 1395 (26 décembre 1975) renouvelant une autorisation d'exploitation de
services aériens non-réguliers de transport public par avions-taxis.** ****
**Le Ministre des travaux publics et des communications,** Vu l'arrêté du
ministre des travaux publics et des communications n° 303-68 du 29 safar 1388
(28 mai 1968) relatif à l'autorisation d'exploitation de services aériens non-
réguliers de transport public et de services de travail aérien ; Vu l'arrêté
du ministre des travaux publics et des communications n° 300-75 du 1er safar
1395 (13 février 1975) accordant une autorisation d'exploitation de services
aériens non-réguliers de transport public par avions-taxis à la Société Air
Sud ; Vu la demande de renouvellement présentée par ladite société dont le
siège est transféré au Hangar 68, aéroport de Casablanca-Anfa, **Arrête :**
**Article Premier :** L'autorisation d'exploitation de services aériens non-
réguliers de transport public par avions-taxis délivrée à la Société Air Sud
par l'arrêté susvisé n° 300-75 du 1er safar 1395 (13 février 1975) est
renouvelée pour une période d'un an à compter du 29 hija 1395 (1er janvier
1976). **Article 2 :** Le directeur de l'air est chargé de l'exécution du
présent arrêté qui sera publié au _Bulletin officiel._ __ _Rabat, le 23 hija
1395 (26 décembre 1975).  
_**Ahmed Tazi.** ****

 ### Source: URL: https://juridiahackhaton.blob.core.windows.net/fine-tuning/documents/2440.html type: Arrêté date_publication: 1975-12-26 title: Arrêté du ministre des travaux publics et des communications n° 517-76 du 23 hija 1395 (26 décembre 1975) renouvelant une autorisation d'exploitation de services aériens non-réguliers de transport public par avions-taxis."
ما هو المرجع القانوني الذي يستند عليه القرار الوزاري المتعلق بتجديد ترخيص شركة الخطوط الجوية الجنوبية؟,"يستند القرار الوزاري رقم 517-76 المؤرخ في 23 ذي الحجة 1395 (26 ديسمبر 1975) المتعلق بتجديد ترخيص شركة الخطوط الجوية الجنوبية (Air Sud)  لخدمات النقل الجوي غير المنتظم بواسطة طائرات الأجرة، على المرجعين القانونيين التاليين:

1. **المرسوم الوزاري رقم 303-68 المؤرخ في 29 صفر 1388 (28 مايو 1968):**  وهو المرسوم المتعلق بترخيص تشغيل خدمات النقل الجوي غير المنتظم وخدمات العمل الجوي.  هذا المرسوم يُشكل الإطار القانوني العام الذي يخضع له نشاط شركة Air Sud.

2. **المرسوم الوزاري رقم 300-75 المؤرخ في 1 صفر 1395 (13 فبراير 1975):**  وهو المرسوم الذي منح  شركة Air Sud  ترخيصاً أصلياً لتشغيل خدمات النقل الجوي غير المنتظم بواسطة طائرات الأجرة.  يُعتبر هذا المرسوم أساساً لتجديد الترخيص الوارد في القرار رقم 517-76.


باختصار، يعتمد القرار على مرسوم عام ينظم النشاط، ومرسوم سابق يمنح الترخيص الأصلي الذي تم تجديده.
","### Context: ---  
**Bulletin Officiel n° 3315 du 12 joumada I 1396 (12 mai 1976).**  
**EDITION DE TRADUCTION OFFICIELLE**  
****  
**Arrêté du ministre des travaux publics et des communications n° 517-76 du  
23 hija 1395 (26 décembre 1975) renouvelant une autorisation d'exploitation de
services aériens non-réguliers de transport public par avions-taxis.** ****
**Le Ministre des travaux publics et des communications,** Vu l'arrêté du
ministre des travaux publics et des communications n° 303-68 du 29 safar 1388
(28 mai 1968) relatif à l'autorisation d'exploitation de services aériens non-
réguliers de transport public et de services de travail aérien ; Vu l'arrêté
du ministre des travaux publics et des communications n° 300-75 du 1er safar
1395 (13 février 1975) accordant une autorisation d'exploitation de services
aériens non-réguliers de transport public par avions-taxis à la Société Air
Sud ; Vu la demande de renouvellement présentée par ladite société dont le
siège est transféré au Hangar 68, aéroport de Casablanca-Anfa, **Arrête :**
**Article Premier :** L'autorisation d'exploitation de services aériens non-
réguliers de transport public par avions-taxis délivrée à la Société Air Sud
par l'arrêté susvisé n° 300-75 du 1er safar 1395 (13 février 1975) est
renouvelée pour une période d'un an à compter du 29 hija 1395 (1er janvier
1976). **Article 2 :** Le directeur de l'air est chargé de l'exécution du
présent arrêté qui sera publié au _Bulletin officiel._ __ _Rabat, le 23 hija
1395 (26 décembre 1975).  
_**Ahmed Tazi.** ****

 ### Source: URL: https://juridiahackhaton.blob.core.windows.net/fine-tuning/documents/2440.html type: Arrêté date_publication: 1975-12-26 title: Arrêté du ministre des travaux publics et des communications n° 517-76 du 23 hija 1395 (26 décembre 1975) renouvelant une autorisation d'exploitation de services aériens non-réguliers de transport public par avions-taxis."
Quel est le numéro d'arrêté renouvelant l'autorisation d'exploitation de la Société Air Sud ?,"Le numéro de l'arrêté renouvelant l'autorisation d'exploitation de la Société Air Sud est le **n° 517-76**.
","### Context: ---  
**Bulletin Officiel n° 3315 du 12 joumada I 1396 (12 mai 1976).**  
**EDITION DE TRADUCTION OFFICIELLE**  
****  
**Arrêté du ministre des travaux publics et des communications n° 517-76 du  
23 hija 1395 (26 décembre 1975) renouvelant une autorisation d'exploitation de
services aériens non-réguliers de transport public par avions-taxis.** ****
**Le Ministre des travaux publics et des communications,** Vu l'arrêté du
ministre des travaux publics et des communications n° 303-68 du 29 safar 1388
(28 mai 1968) relatif à l'autorisation d'exploitation de services aériens non-
réguliers de transport public et de services de travail aérien ; Vu l'arrêté
du ministre des travaux publics et des communications n° 300-75 du 1er safar
1395 (13 février 1975) accordant une autorisation d'exploitation de services
aériens non-réguliers de transport public par avions-taxis à la Société Air
Sud ; Vu la demande de renouvellement présentée par ladite société dont le
siège est transféré au Hangar 68, aéroport de Casablanca-Anfa, **Arrête :**
**Article Premier :** L'autorisation d'exploitation de services aériens non-
réguliers de transport public par avions-taxis délivrée à la Société Air Sud
par l'arrêté susvisé n° 300-75 du 1er safar 1395 (13 février 1975) est
renouvelée pour une période d'un an à compter du 29 hija 1395 (1er janvier
1976). **Article 2 :** Le directeur de l'air est chargé de l'exécution du
présent arrêté qui sera publié au _Bulletin officiel._ __ _Rabat, le 23 hija
1395 (26 décembre 1975).  
_**Ahmed Tazi.** ****

 ### Source: URL: https://juridiahackhaton.blob.core.windows.net/fine-tuning/documents/2440.html type: Arrêté date_publication: 1975-12-26 title: Arrêté du ministre des travaux publics et des communications n° 517-76 du 23 hija 1395 (26 décembre 1975) renouvelant une autorisation d'exploitation de services aériens non-réguliers de transport public par avions-taxis."
Quelle est la date de l'arrêté renouvelant l'autorisation d'exploitation de la Société Air Sud ?,"L'arrêté renouvelant l'autorisation d'exploitation de la Société Air Sud est daté du 23 hija 1395 (26 décembre 1975).
","### Context: ---  
**Bulletin Officiel n° 3315 du 12 joumada I 1396 (12 mai 1976).**  
**EDITION DE TRADUCTION OFFICIELLE**  
****  
**Arrêté du ministre des travaux publics et des communications n° 517-76 du  
23 hija 1395 (26 décembre 1975) renouvelant une autorisation d'exploitation de
services aériens non-réguliers de transport public par avions-taxis.** ****
**Le Ministre des travaux publics et des communications,** Vu l'arrêté du
ministre des travaux publics et des communications n° 303-68 du 29 safar 1388
(28 mai 1968) relatif à l'autorisation d'exploitation de services aériens non-
réguliers de transport public et de services de travail aérien ; Vu l'arrêté
du ministre des travaux publics et des communications n° 300-75 du 1er safar
1395 (13 février 1975) accordant une autorisation d'exploitation de services
aériens non-réguliers de transport public par avions-taxis à la Société Air
Sud ; Vu la demande de renouvellement présentée par ladite société dont le
siège est transféré au Hangar 68, aéroport de Casablanca-Anfa, **Arrête :**
**Article Premier :** L'autorisation d'exploitation de services aériens non-
réguliers de transport public par avions-taxis délivrée à la Société Air Sud
par l'arrêté susvisé n° 300-75 du 1er safar 1395 (13 février 1975) est
renouvelée pour une période d'un an à compter du 29 hija 1395 (1er janvier
1976). **Article 2 :** Le directeur de l'air est chargé de l'exécution du
présent arrêté qui sera publié au _Bulletin officiel._ __ _Rabat, le 23 hija
1395 (26 décembre 1975).  
_**Ahmed Tazi.** ****

 ### Source: URL: https://juridiahackhaton.blob.core.windows.net/fine-tuning/documents/2440.html type: Arrêté date_publication: 1975-12-26 title: Arrêté du ministre des travaux publics et des communications n° 517-76 du 23 hija 1395 (26 décembre 1975) renouvelant une autorisation d'exploitation de services aériens non-réguliers de transport public par avions-taxis."
Quelle est la durée du renouvellement de l'autorisation d'exploitation accordée à la Société Air Sud ?,"Le renouvellement de l'autorisation d'exploitation de services aériens non-réguliers de transport public par avions-taxis accordée à la Société Air Sud est d'une durée d'un an, à compter du 1er janvier 1976 (29 hija 1395).
","### Context: ---  
**Bulletin Officiel n° 3315 du 12 joumada I 1396 (12 mai 1976).**  
**EDITION DE TRADUCTION OFFICIELLE**  
****  
**Arrêté du ministre des travaux publics et des communications n° 517-76 du  
23 hija 1395 (26 décembre 1975) renouvelant une autorisation d'exploitation de
services aériens non-réguliers de transport public par avions-taxis.** ****
**Le Ministre des travaux publics et des communications,** Vu l'arrêté du
ministre des travaux publics et des communications n° 303-68 du 29 safar 1388
(28 mai 1968) relatif à l'autorisation d'exploitation de services aériens non-
réguliers de transport public et de services de travail aérien ; Vu l'arrêté
du ministre des travaux publics et des communications n° 300-75 du 1er safar
1395 (13 février 1975) accordant une autorisation d'exploitation de services
aériens non-réguliers de transport public par avions-taxis à la Société Air
Sud ; Vu la demande de renouvellement présentée par ladite société dont le
siège est transféré au Hangar 68, aéroport de Casablanca-Anfa, **Arrête :**
**Article Premier :** L'autorisation d'exploitation de services aériens non-
réguliers de transport public par avions-taxis délivrée à la Société Air Sud
par l'arrêté susvisé n° 300-75 du 1er safar 1395 (13 février 1975) est
renouvelée pour une période d'un an à compter du 29 hija 1395 (1er janvier
1976). **Article 2 :** Le directeur de l'air est chargé de l'exécution du
présent arrêté qui sera publié au _Bulletin officiel._ __ _Rabat, le 23 hija
1395 (26 décembre 1975).  
_**Ahmed Tazi.** ****

 ### Source: URL: https://juridiahackhaton.blob.core.windows.net/fine-tuning/documents/2440.html type: Arrêté date_publication: 1975-12-26 title: Arrêté du ministre des travaux publics et des communications n° 517-76 du 23 hija 1395 (26 décembre 1975) renouvelant une autorisation d'exploitation de services aériens non-réguliers de transport public par avions-taxis."
